bin_id	assembly	accession	n_contigs	bin_bp	bin_n50	ref_len	covered_ref_bp	contam_bp	unaligned_bp	bin_bp_per_covered_ref_bp	true_completeness	true_contamination	true_contamination_upper	in_mock1	bin_fasta	organism	kingdom	gtdb_phylum	genome_status	gc_pct	mock1_pct	split	leakage_free	ref_nseq
illumina__GCA_000016125.1	illumina	GCA_000016125.1	207	1793581	19671	1789046	1766976	0	7075	1.0151	98.766382	0.0	0.395462	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000016125.1.fasta	Methanococcus maripaludis	Archaea	Methanobacteriota_A	Complete	33.0	1.1540467948482065	train	False	2
illumina__GCA_000015805.1	illumina	GCA_000015805.1	291	1987624	11712	2009313	1983616	366	5537	1.002	98.721105	0.018215	0.293782	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000015805.1.fasta	Pyrobaculum calidifontis	Archaea	Thermoproteota	Complete	57.2	2.5449546574683057	val	False	1
illumina__GCA_001639275.1	illumina	GCA_001639275.1	309	2128802	34807	2140433	2100924	0	7151	1.0133	98.154159	0.0	0.334091	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_001639275.1.fasta	Methanobrevibacter oralis DSM 7256	Archaea	Methanobacteriota	Draft	28.0	0.7611079349437925	none	True	136
illumina__GCA_000020225.1	illumina	GCA_000020225.1	329	2625816	15083	2664102	2612440	6419	6256	1.0051	98.06081	0.240944	0.47577	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000020225.1.fasta	Akkermansia muciniphila	Bacteria	Verrucomicrobiota	Complete	55.8	0.9075135785424312	test	True	1
illumina__GCA_002952055.1	illumina	GCA_002952055.1	133	2722933	114398	2774417	2720473	0	2379	1.0009	98.055664	0.0	0.085748	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_002952055.1.fasta	Desulfobulbus oralis	Bacteria	Desulfobacterota	Complete	59.8	7.350049552255035	train	False	1
illumina__GCA_000020465.1	illumina	GCA_000020465.1	140	2710497	113713	2763181	2703336	143	6492	1.0026	97.834199	0.005175	0.240122	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000020465.1.fasta	Chlorobium limicola	Bacteria	Bacteroidota	Complete	51.3	2.320980079770457	val	False	1
illumina__GCA_003019295.1	illumina	GCA_003019295.1	63	2134078	126011	2180101	2130661	0	1381	1.0016	97.732215	0.0	0.063346	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_003019295.1.fasta	Fusobacterium nucleatum subsp. nucleatum	Bacteria	Fusobacteriota	Complete	27.2	2.808871546527448	train	False	1
illumina__GCA_000009705.1	illumina	GCA_000009705.1	1110	7059270	11950	7211789	7046414	132	22234	1.0018	97.70688	0.00183	0.310131	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000009705.1.fasta	Trichormus sp000009705	Bacteria	Cyanobacteria	Complete	41.3	1.3714630261137666	train	False	7
illumina__GCA_000007565.2	illumina	GCA_000007565.2	567	6048510	22811	6181873	6018070	9762	13187	1.0051	97.350269	0.157913	0.371231	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000007565.2.fasta	Pseudomonas putida	Bacteria	Proteobacteria (g)	Complete	61.5	1.4824978587194015	none	True	1
illumina__GCA_000156375.1	illumina	GCA_000156375.1	498	2790031	9680	2867216	2779918	2382	16870	1.0036	96.955304	0.083077	0.671453	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000156375.1.fasta	Desulfovibrio piger	Bacteria	Desulfobacterota_I	Draft	63.0	4.387852857703976	none	True	47
illumina__GCA_000196135.1	illumina	GCA_000196135.1	422	2048263	8451	2110355	2040224	366	8119	1.0039	96.676815	0.017343	0.402065	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000196135.1.fasta	Wolinella succinogenes	Bacteria	Campylobacterota	Complete	48.5	0.6560466917797272	train	False	1
illumina__GCA_000009145.1	illumina	GCA_000009145.1	190	2718831	46535	2812094	2718213	0	3345	1.0002	96.661527	0.0	0.118951	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000009145.1.fasta	Nitrosomonas europaea	Bacteria	Proteobacteria (g)	Complete	50.7	5.683429495108962	none	True	1
illumina__GCA_000008185.1	illumina	GCA_000008185.1	661	2761916	7367	2843201	2747860	2331	13994	1.0051	96.646702	0.081985	0.574177	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000008185.1.fasta	Treponema denticola	Bacteria	Spirochaetota	Complete	37.9	1.267464756251801	train	False	1
illumina__GCA_000018865.1	illumina	GCA_000018865.1	1257	5077173	7677	5258541	5076326	104	26101	1.0002	96.534875	0.001978	0.498332	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000018865.1.fasta	Chloroflexus aurantiacus	Bacteria	Chloroflexota	Complete	56.7	0.2032657270148536	val	False	1
illumina__GCA_000007185.1	illumina	GCA_000007185.1	557	1637832	5380	1694969	1629126	192	10603	1.0053	96.115386	0.011328	0.636885	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000007185.1.fasta	Methanopyrus kandleri	Archaea	Methanobacteriota_A	Complete	61.2	0.2102064650380613	train	False	1
illumina__GCA_000016545.1	illumina	GCA_000016545.1	256	2858249	56188	2970275	2844620	951	7035	1.0048	95.769584	0.032017	0.268864	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000016545.1.fasta	Caldicellulosiruptor saccharolyticus	Bacteria	Firmicutes_A	Complete	35.3	0.8910815662438224	none	True	1
illumina__GCA_000008665.1	illumina	GCA_000008665.1	778	2088106	4443	2178400	2078088	97	15337	1.0048	95.395152	0.004453	0.708502	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000008665.1.fasta	Archaeoglobus fulgidus	Archaea	Halobacteriota	Complete	48.6	1.168267837618576	train	False	1
illumina__GCA_000016785.1	illumina	GCA_000016785.1	35	1740012	273983	1823511	1738539	122	701	1.0008	95.340198	0.00669	0.045133	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000016785.1.fasta	Thermotoga petrophila	Bacteria	Thermotogota	Complete	46.1	6.950263060905706	train	False	1
illumina__GCA_000019085.1	illumina	GCA_000019085.1	127	2256024	81903	2362816	2250055	0	2679	1.0027	95.227686	0.0	0.113382	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000019085.1.fasta	Thermoanaerobacter pseudethanolicus	Bacteria	Firmicutes_A	Complete	34.5	2.4816006004718845	train	False	1
illumina__GCA_000010505.1	illumina	GCA_000010505.1	216	2238637	45076	2354886	2234870	0	4564	1.0017	94.903532	0.0	0.19381	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000010505.1.fasta	Porphyromonas gingivalis	Bacteria	Bacteroidota	Complete	48.4	2.1700669467348197	train	False	1
illumina__GCA_000015125.1	illumina	GCA_000015125.1	370	2961328	40812	3133902	2962218	0	8200	0.9997	94.521718	0.0	0.261655	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000015125.1.fasta	Chlorobium phaeobacteroides	Bacteria	Bacteroidota	Complete	48.4	0.6902618012215004	test	True	1
illumina__GCA_000012825.1	illumina	GCA_000012825.1	1659	4840447	4956	5163189	4805013	5283	33695	1.0074	93.062892	0.10232	0.754921	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000012825.1.fasta	Phocaeicola vulgatus	Bacteria	Bacteroidota	Complete	42.2	0.4692441753857262	none	True	1
illumina__GCA_000020325.1	illumina	GCA_000020325.1	646	1706579	4543	1838442	1693846	61	12814	1.0075	92.134862	0.003318	0.700321	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000020325.1.fasta	Sulfurihydrogenibium sp000020325	Bacteria	Aquificota	Complete	32.0	0.6921505889417947	train	False	1
illumina__GCA_000006805.1	illumina	GCA_000006805.1	93	2367526	375782	2571010	2349503	61	15744	1.0077	91.384436	0.002373	0.614739	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000006805.1.fasta	Halobacterium salinarum	Archaea	Halobacteriota	Complete	67.9	2.5322931915107527	val	False	3
illumina__GCA_000021665.1	illumina	GCA_000021665.1	1910	5059072	5796	5358884	4841674	117	35686	1.0449	90.34855	0.002183	0.668106	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000021665.1.fasta	Shewanella baltica OS223	Bacteria	Proteobacteria (g)	Complete	46.3	2.536452317303562	none	True	4
illumina__GCA_000007985.2	illumina	GCA_000007985.2	2592	3420389	1995	3814128	3376135	3257	51103	1.0131	88.516563	0.085393	1.425227	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000007985.2.fasta	Geobacter sulfurreducens	Bacteria	Desulfobacterota	Complete	60.9	0.5871731729158559	train	False	1
illumina__GCA_000011585.1	illumina	GCA_000011585.1	684	1444976	3909	1661137	1427727	0	16178	1.0121	85.948781	0.0	0.973911	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000011585.1.fasta	Methanococcus maripaludis	Archaea	Methanobacteriota_A	Complete	33.1	0.4596159247507687	train	False	1
illumina__GCA_000015865.1	illumina	GCA_000015865.1	2534	3303258	1971	3843301	3264531	172	49785	1.0119	84.94081	0.004475	1.299846	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000015865.1.fasta	Ruminiclostridium thermocellum	Bacteria	Firmicutes_A	Complete	39.0	0.2688448965555986	train	False	1
illumina__GCA_000013645.1	illumina	GCA_000013645.1	8288	7857234	1348	9731138	7712984	17797	164251	1.0187	79.260863	0.182887	1.870778	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000013645.1.fasta	Paraburkholderia xenovorans	Bacteria	Proteobacteria (g)	Complete	62.6	0.5751132729787753	none	True	3
illumina__GCA_000016065.1	illumina	GCA_000016065.1	3816	3592004	1404	4602594	3531510	1740	72931	1.0171	76.728688	0.037805	1.622368	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000016065.1.fasta	Shewanella loihica	Bacteria	Proteobacteria (g)	Complete	53.7	0.55325101249311	train	False	1
illumina__GCA_000022325.1	illumina	GCA_000022325.1	1525	2249185	2440	2931662	2218344	2325	29903	1.0139	75.668477	0.079307	1.099308	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000022325.1.fasta	Caldicellulosiruptor bescii	Bacteria	Firmicutes_A	Complete	35.2	0.214992735486677	none	True	3
illumina__GCA_000022565.1	illumina	GCA_000022565.1	4065	3091985	1025	4127356	3022672	6618	77626	1.0229	73.235069	0.160345	2.041113	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000022565.1.fasta	Acidobacterium capsulatum	Bacteria	Acidobacteriota	Complete	60.5	0.1997803218085485	train	False	1
illumina__GCA_000011065.1	illumina	GCA_000011065.1	6577	3934068	746	6293399	3825010	2475	124787	1.0285	60.778126	0.039327	2.022151	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000011065.1.fasta	Bacteroides thetaiotaomicron	Bacteria	Bacteroidota	Complete	42.9	0.3235098144670962	none	True	2
illumina__GCA_000018265.1	illumina	GCA_000018265.1	6136	3537071	711	5786361	3330876	28074	167867	1.0619	57.564262	0.485175	3.386256	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000018265.1.fasta	Micromonospora arenicola	Bacteria	Actinobacteriota	Complete	69.5	0.3905638725665548	none	True	1
illumina__GCA_000017325.1	illumina	GCA_000017325.1	1557	2351594	3053	5312910	2294451	237	32153	1.0249	43.186333	0.004461	0.609647	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000017325.1.fasta	Shewanella baltica	Bacteria	Proteobacteria (g)	Complete	46.3	1.3566218977486435	train	False	2
illumina__GCA_000008565.1	illumina	GCA_000008565.1	2957	1442951	574	3284156	1385918	6606	55987	1.0412	42.200127	0.201148	1.905908	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000008565.1.fasta	Deinococcus radiodurans	Bacteria	Deinococcota	Complete	66.6	0.6198437959638331	train	False	4
illumina__GCA_000021645.1	illumina	GCA_000021645.1	1683	713680	463	1855560	685650	348	31462	1.0409	36.951109	0.018754	1.714307	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000021645.1.fasta	Dictyoglomus turgidum	Bacteria	Dictyoglomota	Complete	34.0	0.6857645825164118	val	False	1
illumina__GCA_000016425.1	illumina	GCA_000016425.1	3704	1495334	424	5183331	1378116	20379	94735	1.0851	26.587459	0.393164	2.22085	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000016425.1.fasta	Micromonospora tropica	Bacteria	Actinobacteriota	Complete	69.5	0.4909911943102475	train	False	1
illumina__GCA_000172575.2	illumina	GCA_000172575.2	1844	686341	378	2739625	655048	65	33961	1.0478	23.910134	0.002373	1.241995	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000172575.2.fasta	Enterococcus faecalis	Bacteria	Firmicutes	Complete	37.4	0.1523040304414984	none	True	1
illumina__GCA_000195675.1	illumina	GCA_000195675.1	3240	1196087	374	5339179	1129692	7829	62881	1.0588	21.158534	0.146633	1.324361	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000195675.1.fasta	Bordetella pertussis	Bacteria	Proteobacteria (g)	Complete	68.1	0.4766564636270562	train	False	1
illumina__GCA_000007225.1	illumina	GCA_000007225.1	1343	481654	353	2222430	456570	690	25812	1.0549	20.543729	0.031047	1.192479	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000007225.1.fasta	Pyrobaculum aerophilum	Archaea	Thermoproteota	Complete	51.4	0.2290245053808944	train	False	1
illumina__GCA_000007305.1	illumina	GCA_000007305.1	942	318875	322	1908256	301131	0	18147	1.0589	15.78043	0.0	0.950973	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000007305.1.fasta	Pyrococcus furiosus	Archaea	Methanobacteriota_B	Complete	40.8	0.4018349459160483	train	False	1
illumina__GCA_000011205.1	illumina	GCA_000011205.1	1290	445711	335	2694756	422955	338	24710	1.0538	15.695484	0.012543	0.929509	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000011205.1.fasta	Sulfurisphaera tokodaii	Archaea	Thermoproteota	Complete	32.8	0.0754060639249868	train	False	1
illumina__GCA_000308215.1	illumina	GCA_000308215.1	476	148004	289	2620233	138093	239	10203	1.0718	5.270257	0.009121	0.398514	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000308215.1.fasta	Methanomassiliicoccus luminyensis	Archaea	Thermoplasmatota	Draft	60.5	0.0582814043695031	none	True	26
illumina__GCA_000011965.2	illumina	GCA_000011965.2	625	185195	280	4601048	172486	931	12106	1.0737	3.748842	0.020235	0.283348	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000011965.2.fasta	Ruegeria pomeroyi	Bacteria	Proteobacteria (a)	Complete	64.1	0.0665347622867531	none	True	2
illumina__GCA_000025665.1	illumina	GCA_000025665.1	160	48297	273	1486778	45152	0	3127	1.0697	3.036903	0.0	0.210321	True		Aciduliprofundum boonei	Archaea	Thermoplasmatota	Complete	39.2	0.0342524180009193	val	False	1
illumina__GCA_000019785.1	illumina	GCA_000019785.1	531	154692	271	4909403	142063	1975	11527	1.0889	2.893692	0.040229	0.275023	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000019785.1.fasta	Leptothrix cholodnii	Bacteria	Proteobacteria (g)	Complete	68.9	0.0497648384369662	test	True	1
illumina__GCA_000328665.1	illumina	GCA_000328665.1	252	73926	273	2714013	69002	71	4920	1.0714	2.542434	0.002616	0.183897	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000328665.1.fasta	Methanomethylovorans hollandica	Archaea	Halobacteriota	Complete	41.8	0.04695488297912	test	True	2
illumina__GCA_000007345.1	illumina	GCA_000007345.1	154	43361	272	5751492	41114	0	2911	1.0547	0.714841	0.0	0.050613	True		Methanosarcina acetivorans	Archaea	Halobacteriota	Complete	42.7	0.1769944593465906	train	False	1
illumina__GCA_000144915.1	illumina	GCA_000144915.1	37	10198	265	1496453	9552	0	707	1.0676	0.638309	0.0	0.047245	True		Acidilobus saccharovorans	Archaea	Thermoproteota	Complete	57.2	0.0341604652009168	train	False	1
illumina__GCA_000016385.1	illumina	GCA_000016385.1	41	11568	267	2121076	10433	317	818	1.1088	0.491873	0.014945	0.053511	True		Pyrobaculum arsenaticum	Archaea	Thermoproteota	Complete	55.1	0.0479935628541743	train	False	1
illumina__GCA_000025685.1	illumina	GCA_000025685.1	72	19469	262	4012900	18135	0	1335	1.0736	0.451918	0.0	0.033268	True		Haloferax volcanii	Archaea	Halobacteriota	Complete	65.5	0.0482710050942355	train	False	5
illumina__GCA_000243155.3	illumina	GCA_000243155.3	41	10837	262	4321753	10035	0	819	1.0799	0.232197	0.0	0.018951	True		Desulfitobacterium dehalogenans	Bacteria	Firmicutes_B	Complete	45.0	0.0035346592464837	none	True	1
illumina__GCA_000195755.1	illumina	GCA_000195755.1	1	5352	5352	3773159	4742	0	660	1.1286	0.125677	0.0	0.017492	True		Nitratidesulfovibrio vulgaris	Bacteria	Desulfobacterota_I	Complete	63.2	0.0271461830129952	train	False	2
illumina__GCA_000019625.1	illumina	GCA_000019625.1	3	1673	1061	1877693	1573	0	36	1.0636	0.083773	0.0	0.001917	False		Thermotoga maritima	Bacteria	Thermotogota	Complete	46.2		train	False	1
illumina__GCA_000005845.2	illumina	GCA_000005845.2	13	3533	268	4641652	2901	0	632	1.2179	0.062499	0.0	0.013616	False		Escherichia coli	Bacteria	Proteobacteria (g)	Complete	50.8		none	True	1
illumina__GCA_000020725.1	illumina	GCA_000020725.1	4	1026	272	4615150	979	0	47	1.048	0.021213	0.0	0.001018	True		Geobacter bemidjiensis	Bacteria	Desulfobacterota	Complete	60.3	0.0033123054110216	train	False	1
illumina__GCA_000020645.1	illumina	GCA_000020645.1	1	93	93	3018238	80	0	13	1.1625	0.002651	0.0	0.000431	False		Pelodictyon phaeoclathratiforme	Bacteria	Bacteroidota	Complete	48.1		train	False	1
mgiseq_2000__GCA_000010305.1	mgiseq_2000	GCA_000010305.1	17	4634673	514595	4636964	4633217	0	301	1.0003	99.919193	0.0	0.006491	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000010305.1.fasta	Gemmatimonas aurantiaca	Bacteria	Gemmatimonadota	Complete	64.3	2.414901248417184	train	False	1
mgiseq_2000__GCA_000017945.1	mgiseq_2000	GCA_000017945.1	10	1296818	396181	1297538	1296383	0	212	1.0003	99.910985	0.0	0.016339	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000017945.1.fasta	Ignicoccus hospitalis	Archaea	Thermoproteota	Complete	56.5	2.8386032717915723	train	False	1
mgiseq_2000__GCA_000011105.1	mgiseq_2000	GCA_000011105.1	22	1735277	326663	1738505	1733528	0	2127	1.001	99.71372	0.0	0.122346	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000011105.1.fasta	Pyrococcus horikoshii	Archaea	Methanobacteriota_B	Complete	41.9	5.855518337574474	train	False	1
mgiseq_2000__GCA_000021565.1	mgiseq_2000	GCA_000021565.1	11	1977493	1063396	1983966	1977821	0	310	0.9998	99.690267	0.0	0.015625	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000021565.1.fasta	Persephonella marina	Bacteria	Aquificota	Complete	37.1	2.806237421402552	val	False	2
mgiseq_2000__GCA_000016085.1	mgiseq_2000	GCA_000016085.1	42	1954019	273964	1966858	1957041	0	917	0.9985	99.500879	0.0	0.046623	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000016085.1.fasta	Chlorobium phaeovibrioides	Bacteria	Bacteroidota	Complete	53.0	1.2939175424119185	none	True	1
mgiseq_2000__GCA_000091665.1	mgiseq_2000	GCA_000091665.1	45	1733571	127777	1739927	1730071	0	931	1.002	99.433539	0.0	0.053508	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000091665.1.fasta	Methanocaldococcus jannaschii	Archaea	Methanobacteriota_A	Complete	31.3	5.645801351648397	train	False	3
mgiseq_2000__GCA_000018945.1	mgiseq_2000	GCA_000018945.1	65	1874396	114017	1884562	1871085	0	1222	1.0018	99.284874	0.0	0.064843	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000018945.1.fasta	Thermotoga neapolitana	Bacteria	Thermotogota	Complete	46.9	1.6074819757894294	test	True	1
mgiseq_2000__GCA_000166095.1	mgiseq_2000	GCA_000166095.1	60	1233169	68031	1243342	1230384	0	1213	1.0023	98.957809	0.0	0.09756	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000166095.1.fasta	Methanothermus fervidus	Archaea	Methanobacteriota	Complete	31.6	7.183339758983122	val	False	1
mgiseq_2000__GCA_000196115.1	mgiseq_2000	GCA_000196115.1	251	7069643	96187	7145576	7067383	0	5164	1.0003	98.905715	0.0	0.072268	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000196115.1.fasta	Rhodopirellula baltica	Bacteria	Planctomycetota	Complete	55.4	1.3177841732417428	none	True	1
mgiseq_2000__GCA_001481685.1	mgiseq_2000	GCA_001481685.1	192	1384799	13131	1394664	1379343	0	4119	1.004	98.901456	0.0	0.29534	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_001481685.1.fasta	Ignicoccus islandicus	Archaea	Thermoproteota	Complete	44.9	1.095389379111179	train	False	1
mgiseq_2000__GCA_000018565.1	mgiseq_2000	GCA_000018565.1	249	6703812	134099	6785430	6694223	504	5639	1.0014	98.655841	0.007428	0.090532	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000018565.1.fasta	Herpetosiphon aurantiacus	Bacteria	Chloroflexota	Complete	50.9	1.650232403204518	train	False	3
mgiseq_2000__GCA_000016125.1	mgiseq_2000	GCA_000016125.1	463	1795994	7188	1789046	1759506	0	13641	1.0207	98.348841	0.0	0.762473	True	/path/to/magicc/data/real_data/meslier2022/bins/mgiseq_2000/GCA_000016125.1.fasta	Methanococcus maripaludis	Archaea	Methanobacteriota_A	Complete	33.0	1.1540467948482065	train	False	2
