Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
genome_280	100.0	26.8	Neural Network (Specific Model)	11	0.801	2186791	275.29936305732485	3873900	0.43	3768	None
genome_284	100.0	25.62	Neural Network (Specific Model)	11	0.878	5448034	317.7752413253326	8304907	0.58	7666	None
genome_287	83.45	39.68	Neural Network (Specific Model)	11	0.908	79174	311.54102638445926	3545643	0.27	3449	None
genome_296	65.96	0.05	Neural Network (Specific Model)	11	0.856	145628	291.2720588235294	1385371	0.4	1360	None
genome_297	62.71	4.47	Neural Network (Specific Model)	11	0.9	29804	317.59723183391003	1527046	0.27	1445	None
genome_298	100.0	51.23	Gradient Boost (General Model)	11	0.887	5244518	324.32374100719426	8977545	0.43	8201	None
genome_30	100.0	30.56	Neural Network (Specific Model)	11	0.865	2415438	300.018477043673	3713305	0.34	3572	None
genome_301	93.57	31.34	Neural Network (Specific Model)	11	0.87	603838	301.2637958532695	3253030	0.4	3135	None
genome_302	99.95	6.11	Neural Network (Specific Model)	11	0.858	2074978	308.23944839114085	2576650	0.4	2393	None
genome_309	100.0	33.03	Neural Network (Specific Model)	11	0.88	2926437	322.3777138373006	4194922	0.53	3823	None
genome_311	72.09	4.08	Neural Network (Specific Model)	11	0.904	235835	323.0569347898047	3232215	0.65	3021	None
genome_313	69.77	11.62	Gradient Boost (General Model)	11	0.88	49658	291.70360237118103	2174417	0.37	2193	None
genome_317	99.93	0.22	Neural Network (Specific Model)	11	0.829	1586304	261.52139461172743	1787229	0.39	1893	None
genome_321	86.65	0.39	Neural Network (Specific Model)	11	0.834	165407	297.06984969053934	2412663	0.33	2262	None
genome_328	100.0	19.25	Neural Network (Specific Model)	11	0.896	195580	322.44236559139785	5009522	0.57	4650	None
genome_330	100.0	73.99	Neural Network (Specific Model)	11	0.877	4754349	322.86275006330715	8708196	0.57	7898	None
genome_331	71.84	0.27	Neural Network (Specific Model)	11	0.889	114996	331.1069466882068	3452983	0.61	3095	None
genome_336	87.53	29.58	Neural Network (Specific Model)	11	0.881	587617	343.32238267148017	3235957	0.55	2770	None
genome_338	64.28	0.66	Neural Network (Specific Model)	11	0.788	106680	284.1946658491723	3524435	0.38	3262	None
genome_34	100.0	12.67	Neural Network (Specific Model)	11	0.899	1615407	317.53607770582795	2283269	0.44	2162	None
genome_343	100.0	57.17	Neural Network (Specific Model)	11	0.892	3916274	303.1214527275401	6918014	0.5	6801	None
genome_348	77.61	4.4	Neural Network (Specific Model)	11	0.88	2540691	330.8151618398637	3966257	0.6	3522	None
genome_353	99.99	21.89	Neural Network (Specific Model)	11	0.872	24276	301.7622830859293	4954223	0.5	4783	None
genome_356	97.92	45.29	Gradient Boost (General Model)	11	0.903	87100	341.01713062098503	5282265	0.41	4670	None
genome_358	100.0	65.95	Gradient Boost (General Model)	11	0.882	668964	311.2224611313265	6388174	0.43	6046	None
genome_360	89.44	11.83	Neural Network (Specific Model)	11	0.895	1043173	348.7544437129691	1770275	0.46	1519	None
genome_364	94.48	20.64	Gradient Boost (General Model)	11	0.886	189443	303.9644658413572	4476529	0.54	4362	None
genome_367	78.14	0.08	Neural Network (Specific Model)	11	0.818	1473312	281.8295397066262	2036372	0.52	1977	None
genome_368	100.0	20.68	Neural Network (Specific Model)	11	0.853	311099	335.78084008843035	7999226	0.7	6785	None
genome_37	100.0	3.13	Neural Network (Specific Model)	11	0.838	2772454	301.7918552036199	3099995	0.36	2873	None
genome_373	81.81	11.48	Neural Network (Specific Model)	11	0.878	891632	317.4364289662797	3919833	0.43	3618	None
genome_376	100.0	35.45	Neural Network (Specific Model)	11	0.9	4365724	324.5309367438645	6246252	0.63	5786	None
genome_381	65.43	0.1	Neural Network (Specific Model)	11	0.903	289932	339.3731563421829	762150	0.41	678	None
genome_383	100.0	27.4	Gradient Boost (General Model)	11	0.888	413428	327.0182009100455	6301808	0.5	5714	None
genome_387	100.0	38.43	Neural Network (Specific Model)	11	0.881	39369	309.4646640907391	8436786	0.56	8023	None
genome_389	97.91	12.53	Neural Network (Specific Model)	11	0.894	2047957	308.8081194944466	2699787	0.4	2611	None
genome_391	99.91	0.52	Neural Network (Specific Model)	11	0.928	1284288	323.0657276995305	1330224	0.28	1278	None
genome_397	69.39	0.23	Neural Network (Specific Model)	11	0.846	493439	299.18124642652947	1853190	0.33	1749	None
genome_398	92.67	9.02	Gradient Boost (General Model)	11	0.879	43128	298.3102222222222	2286590	0.42	2250	None
genome_399	100.0	16.06	Neural Network (Specific Model)	11	0.87	4892265	339.21348100057287	6118066	0.63	5237	None
genome_40	99.79	8.24	Neural Network (Specific Model)	11	0.887	19863	291.5074131876707	5046106	0.51	5126	None
genome_401	100.0	58.48	Gradient Boost (General Model)	11	0.864	328801	297.0910468319559	7466236	0.47	7260	None
genome_402	100.0	44.66	Neural Network (Specific Model)	11	0.903	832873	350.9466858789625	1614299	0.41	1388	None
genome_403	66.67	0.07	Neural Network (Specific Model)	11	0.902	1842638	385.2076388888889	1842638	0.33	1440	None
genome_406	67.24	0.03	Neural Network (Specific Model)	11	0.873	210292	313.8764996471418	3049863	0.52	2834	None
genome_414	100.0	25.89	Neural Network (Specific Model)	11	0.912	2424205	300.9316430524484	3963876	0.66	4023	None
genome_415	86.96	10.61	Neural Network (Specific Model)	11	0.884	69765	310.5827081100393	2945068	0.52	2799	None
genome_425	76.31	0.46	Neural Network (Specific Model)	11	0.871	293074	317.1267828843106	3439583	0.57	3155	None
genome_433	96.5	35.65	Gradient Boost (General Model)	11	0.893	27705	322.61963470319637	9476668	0.62	8760	None
genome_452	100.0	40.49	Neural Network (Specific Model)	11	0.905	1106034	351.00144196106703	1609774	0.41	1387	None
genome_457	99.98	1.41	Neural Network (Specific Model)	11	0.875	1185781	275.3608923884514	2154088	0.36	2286	None
genome_460	99.97	8.35	Neural Network (Specific Model)	11	0.887	2583102	308.64862542955325	3635530	0.35	3492	None
genome_462	89.79	50.57	Gradient Boost (General Model)	11	0.878	88820	300.4735352391735	7239114	0.5	7066	None
genome_467	100.0	47.2	Neural Network (Specific Model)	11	0.887	4791840	321.80224628961093	8120151	0.53	7479	None
genome_469	82.99	7.11	Neural Network (Specific Model)	11	0.874	1010257	321.1210762331838	4904945	0.59	4460	None
genome_47	99.98	0.02	Neural Network (Specific Model)	11	0.749	334419	314.9592833876221	773940	0.27	614	None
genome_474	100.0	11.82	Neural Network (Specific Model)	11	0.908	8110254	375.80847953216374	8487383	0.46	6840	None
genome_477	61.22	2.26	Neural Network (Specific Model)	11	0.875	929459	327.59358661554546	3218816	0.57	2869	None
genome_480	91.75	36.17	Neural Network (Specific Model)	11	0.88	259910	305.0049158349471	6964276	0.54	6713	None
genome_486	100.0	3.22	Neural Network (Specific Model)	11	0.834	2858048	294.8640641338445	3037878	0.33	2869	None
genome_489	87.01	0.82	Neural Network (Specific Model)	11	0.881	24513	332.688884064264	5212685	0.34	4606	None
genome_493	68.34	0.13	Neural Network (Specific Model)	11	0.868	205716	287.2768166089965	3433707	0.51	3468	None
genome_495	89.51	42.09	Neural Network (Specific Model)	11	0.844	60713	295.6380555555556	3776642	0.34	3600	None
genome_496	82.32	12.66	Neural Network (Specific Model)	11	0.905	37781	323.8719371243643	4635904	0.66	4326	None
genome_498	100.0	26.07	Neural Network (Specific Model)	11	0.87	2154946	302.38832277609475	3779229	0.56	3631	None
genome_499	96.69	13.44	Gradient Boost (General Model)	11	0.878	293808	308.29498525073745	2136314	0.37	2034	None
genome_50	95.72	19.41	Gradient Boost (General Model)	11	0.873	11480	305.6536912751678	5465129	0.45	5215	None
genome_500	56.74	0.04	Neural Network (Specific Model)	11	0.891	185083	328.9497549019608	2706488	0.56	2448	None
genome_501	94.85	14.57	Gradient Boost (General Model)	11	0.891	252328	326.6638640102358	6010944	0.6	5471	None
genome_502	99.87	1.07	Neural Network (Specific Model)	11	0.898	555735	320.9523019493986	2578305	0.73	2411	None
genome_505	99.49	0.09	Neural Network (Specific Model)	11	0.832	377336	295.94602272727275	2625763	0.33	2464	None
genome_506	70.97	0.14	Neural Network (Specific Model)	11	0.838	398798	300.55053507728894	1807852	0.33	1682	None
genome_511	100.0	23.32	Neural Network (Specific Model)	11	0.878	1782312	295.973459156591	3418298	0.33	3391	None
genome_514	99.7	0.04	Neural Network (Specific Model)	11	0.899	799122	348.86651835372635	1043173	0.41	899	None
genome_516	97.27	21.17	Neural Network (Specific Model)	11	0.852	98556	300.39645469893077	3750838	0.41	3554	None
genome_517	83.63	14.32	Neural Network (Specific Model)	11	0.863	20585	279.2311516155758	2338959	0.5	2414	None
genome_520	99.93	73.45	Neural Network (Specific Model)	11	0.855	30033	281.51038641947736	8822305	0.39	8954	None
genome_525	100.0	80.15	Neural Network (Specific Model)	11	0.9	5075911	303.7862242755145	9612491	0.51	9524	None
genome_528	98.66	31.97	Gradient Boost (General Model)	11	0.879	5195665	327.6194237918216	7209970	0.41	6456	None
genome_529	85.82	4.79	Neural Network (Specific Model)	11	0.916	307955	300.43142698500833	1765558	0.36	1801	None
genome_531	59.63	0.0	Neural Network (Specific Model)	11	0.912	720469	308.8443449048152	904677	0.39	893	None
genome_532	99.99	14.28	Neural Network (Specific Model)	11	0.87	708763	301.85426379906755	6910132	0.6	6649	None
genome_535	94.03	37.97	Gradient Boost (General Model)	11	0.843	312690	308.6730570712284	7432614	0.46	6781	None
genome_551	100.0	1.68	Neural Network (Specific Model)	11	0.945	1502102	317.0289203084833	1560216	0.3	1556	None
genome_555	68.0	0.09	Neural Network (Specific Model)	11	0.884	115190	336.26707800793304	5167846	0.72	4538	None
genome_558	79.93	21.34	Gradient Boost (General Model)	11	0.864	11842	296.15596766524015	4317902	0.58	4206	None
genome_566	56.67	0.67	Neural Network (Specific Model)	11	0.81	547361	268.01191465779993	3577682	0.35	3609	None
genome_567	81.17	14.43	Neural Network (Specific Model)	11	0.872	114705	306.2689903846154	4376685	0.53	4160	None
genome_580	98.8	37.61	Gradient Boost (General Model)	11	0.881	1906794	304.6451230358731	3492636	0.43	3373	None
genome_588	97.39	33.61	Gradient Boost (General Model)	11	0.87	14062	302.2352048558422	7539608	0.6	7249	None
genome_589	100.0	30.3	Neural Network (Specific Model)	11	0.875	224043	313.8221569587208	6583180	0.53	6129	None
genome_590	87.08	27.2	Neural Network (Specific Model)	11	0.928	113954	305.6889521100047	2078407	0.33	2109	None
genome_593	99.98	33.25	Neural Network (Specific Model)	11	0.916	2169170	322.11030110935025	3315126	0.43	3155	None
genome_594	76.08	11.68	Neural Network (Specific Model)	11	0.895	667309	314.7551234892275	2003859	0.41	1903	None
genome_601	100.0	58.74	Neural Network (Specific Model)	11	0.878	4936735	317.9361939881551	9709270	0.49	8949	None
genome_603	100.0	2.28	Neural Network (Specific Model)	11	0.861	315545	315.198310591293	8434860	0.66	7695	None
genome_608	59.44	0.59	Neural Network (Specific Model)	11	0.91	550012	321.8963272896327	2278438	0.62	2151	None
genome_613	97.32	36.09	Gradient Boost (General Model)	11	0.887	121773	329.6744186046512	6660678	0.38	5977	None
genome_615	100.0	5.14	Neural Network (Specific Model)	11	0.904	2710486	329.11567689276666	3872884	0.59	3553	None
genome_625	81.1	0.5	Neural Network (Specific Model)	11	0.904	374262	332.1381940207444	3602495	0.66	3278	None
genome_629	99.99	15.93	Neural Network (Specific Model)	11	0.932	1799146	312.3690821256039	2076757	0.36	2070	None
genome_63	99.99	15.58	Neural Network (Specific Model)	11	0.857	1407591	280.16680194805195	2410169	0.37	2464	None
genome_635	100.0	22.16	Neural Network (Specific Model)	11	0.89	4128172	318.40551243465865	6756335	0.6	6313	None
genome_638	100.0	18.14	Neural Network (Specific Model)	11	0.864	3237652	305.1090909090909	5875481	0.54	5555	None
genome_65	100.0	51.69	Neural Network (Specific Model)	11	0.897	4240818	309.1291186713099	7710510	0.43	7466	None
genome_652	100.0	30.33	Gradient Boost (General Model)	11	0.886	1245128	292.0758608321377	5506556	0.53	5576	None
genome_654	76.74	0.03	Neural Network (Specific Model)	11	0.82	73407	289.01558441558444	3657043	0.43	3465	None
genome_656	100.0	45.85	Neural Network (Specific Model)	11	0.883	5508042	317.1543372963452	9774561	0.61	9084	None
genome_657	75.97	15.27	Gradient Boost (General Model)	11	0.895	74328	303.84979367262724	3691398	0.59	3635	None
genome_666	80.59	16.02	Gradient Boost (General Model)	11	0.893	672849	335.3230994152047	3847090	0.67	3420	None
genome_67	87.84	0.31	Neural Network (Specific Model)	11	0.897	225094	364.65267489711937	5916952	0.43	4860	None
genome_670	100.0	39.05	Neural Network (Specific Model)	11	0.875	15892	294.9910650971493	7106308	0.51	7051	None
genome_671	100.0	22.7	Neural Network (Specific Model)	11	0.915	90727	297.73175457481165	4523890	0.53	4645	None
genome_672	100.0	19.06	Neural Network (Specific Model)	11	0.846	1239968	314.8607230895645	5426849	0.49	4868	None
genome_673	99.13	18.11	Gradient Boost (General Model)	11	0.852	1781800	276.235010545345	3221193	0.44	3319	None
genome_676	64.84	0.11	Neural Network (Specific Model)	11	0.908	270841	336.40888208269524	723791	0.41	653	None
genome_677	67.08	0.04	Neural Network (Specific Model)	11	0.889	372218	333.037037037037	3604744	0.63	3213	None
genome_688	89.44	18.18	Neural Network (Specific Model)	11	0.836	96373	325.97469490308686	6505847	0.42	5572	None
genome_696	95.74	1.15	Neural Network (Specific Model)	11	0.88	2532944	315.5506299580028	4601973	0.51	4286	None
genome_697	87.74	28.33	Gradient Boost (General Model)	11	0.874	123710	286.00580321814823	3715157	0.35	3791	None
genome_701	83.08	6.96	Neural Network (Specific Model)	11	0.855	54862	260.88917004048585	1802570	0.45	1976	None
genome_709	100.0	21.54	Neural Network (Specific Model)	11	0.853	3411457	286.55403889304415	5377993	0.37	5348	None
genome_71	54.98	2.3	Neural Network (Specific Model)	11	0.915	143582	310.18127883981543	3078725	0.62	3034	None
genome_710	76.08	14.16	Neural Network (Specific Model)	11	0.842	94787	298.8266818700114	2797486	0.44	2631	None
genome_725	99.44	16.12	Neural Network (Specific Model)	11	0.87	102257	307.9519155590305	2710564	0.34	2558	None
genome_735	57.18	0.0	Neural Network (Specific Model)	11	0.792	158442	284.91553398058255	3327034	0.38	3090	None
genome_736	100.0	37.23	Neural Network (Specific Model)	11	0.908	1562832	314.1225422953818	2264971	0.39	2187	None
genome_738	94.85	31.62	Gradient Boost (General Model)	11	0.86	71156	304.6581716156184	4531257	0.59	4277	None
genome_739	99.99	17.2	Neural Network (Specific Model)	11	0.877	1892613	300.21837911156325	3018024	0.43	2949	None
genome_740	99.04	105.04	Neural Network (Specific Model)	11	0.883	592768	320.5052387188951	18250187	0.7	16798	None
genome_742	91.53	41.81	Gradient Boost (General Model)	11	0.873	14254	296.9772144103459	9926750	0.51	9743	None
genome_749	100.0	29.19	Neural Network (Specific Model)	11	0.888	1688822	307.0423673997413	3202383	0.32	3092	None
genome_752	81.55	17.39	Neural Network (Specific Model)	11	0.869	30299	310.0666262870987	3529957	0.43	3302	None
genome_754	92.03	19.78	Gradient Boost (General Model)	11	0.848	47973	294.196865548529	3777700	0.49	3637	None
genome_756	100.0	47.23	Neural Network (Specific Model)	11	0.902	4386447	310.23411554823656	7498091	0.66	7287	None
genome_759	100.0	25.74	Neural Network (Specific Model)	11	0.873	5283387	316.45772546419096	6545327	0.51	6032	None
genome_762	68.43	0.11	Neural Network (Specific Model)	11	0.836	411444	301.3551784669397	1845043	0.33	1709	None
genome_769	77.59	0.01	Neural Network (Specific Model)	11	0.874	373966	340.93610775341045	6763362	0.7	5791	None
genome_772	68.95	16.83	Gradient Boost (General Model)	11	0.881	28629	296.8444963655244	3883864	0.4	3852	None
genome_778	95.28	1.58	Gradient Boost (General Model)	11	0.915	263853	372.4202514890801	3685446	0.53	3022	None
genome_781	99.93	36.23	Neural Network (Specific Model)	11	0.911	7273	280.66211388947255	4385963	0.58	4759	None
genome_783	71.51	0.04	Neural Network (Specific Model)	11	0.88	789677	345.39263803680984	3833999	0.34	3260	None
genome_788	100.0	53.74	Gradient Boost (General Model)	11	0.878	84631	290.30621739743407	7018810	0.52	7093	None
genome_80	99.39	4.54	Neural Network (Specific Model)	11	0.862	2074978	304.2081430745814	2777818	0.42	2628	None
genome_801	91.59	9.99	Neural Network (Specific Model)	11	0.915	53294	305.3864653243848	1784107	0.33	1788	None
genome_803	90.64	23.24	Neural Network (Specific Model)	11	0.873	15796	293.3655879525793	6279802	0.57	6242	None
genome_806	100.0	50.37	Neural Network (Specific Model)	11	0.861	410304	292.16813572173254	10713212	0.51	10551	None
genome_820	99.89	8.6	Neural Network (Specific Model)	11	0.886	1875953	291.70136131593875	3474588	0.46	3526	None
genome_821	69.53	7.1	Neural Network (Specific Model)	11	0.846	173836	309.24941286989196	2330270	0.33	2129	None
genome_822	69.8	1.41	Neural Network (Specific Model)	11	0.924	152022	316.6574836694121	3609077	0.64	3521	None
genome_834	99.21	39.91	Gradient Boost (General Model)	11	0.894	772804	336.2576718891622	8702317	0.53	7723	None
genome_835	100.0	27.2	Neural Network (Specific Model)	11	0.88	292422	305.9826041117554	5918449	0.5	5691	None
genome_838	65.81	0.28	Neural Network (Specific Model)	11	0.892	123520	306.62628661916074	2601599	0.53	2526	None
genome_84	60.84	0.29	Neural Network (Specific Model)	11	0.886	461025	313.985401459854	1746088	0.38	1644	None
genome_841	54.12	3.78	Neural Network (Specific Model)	11	0.906	801977	270.3972602739726	1301353	0.51	1460	None
genome_846	100.0	71.63	Gradient Boost (General Model)	11	0.897	10781	296.7883506343714	10308598	0.49	10404	None
genome_847	100.0	65.76	Neural Network (Specific Model)	11	0.91	2690367	334.69671937691766	4666463	0.48	4237	None
genome_855	100.0	58.31	Neural Network (Specific Model)	11	0.863	2631010	292.80264844083723	4757010	0.39	4682	None
genome_856	98.25	38.96	Gradient Boost (General Model)	11	0.893	70028	310.8079769221121	8302683	0.59	7973	None
genome_867	100.0	31.96	Neural Network (Specific Model)	11	0.873	39745	309.08798017348204	8556943	0.53	8070	None
genome_872	100.0	20.08	Neural Network (Specific Model)	11	0.869	3132860	301.5296979525644	5117375	0.5	4933	None
genome_875	80.69	14.37	Gradient Boost (General Model)	11	0.891	33606	326.32227659960125	6049392	0.59	5517	None
genome_887	81.95	0.13	Neural Network (Specific Model)	11	0.876	334764	320.10420215786485	3854058	0.53	3522	None
genome_888	100.0	72.74	Neural Network (Specific Model)	11	0.863	978888	301.67031630170317	6022106	0.39	5754	None
genome_889	100.0	84.29	Gradient Boost (General Model)	11	0.879	339135	299.5463689892051	8313892	0.43	8152	None
genome_891	99.56	1.11	Neural Network (Specific Model)	11	0.881	1676568	319.04	1707693	0.29	1575	None
genome_893	99.96	4.61	Neural Network (Specific Model)	11	0.908	1601863	290.6869604725125	2105940	0.37	2201	None
genome_900	100.0	65.57	Neural Network (Specific Model)	11	0.871	417781	292.2733846512713	4304084	0.43	4287	None
genome_902	68.43	9.87	Neural Network (Specific Model)	11	0.892	425832	289.91620370370373	2101671	0.41	2160	None
genome_905	86.04	15.53	Neural Network (Specific Model)	11	0.873	684319	310.7379152348224	4655317	0.56	4365	None
genome_908	80.55	0.04	Neural Network (Specific Model)	11	0.863	219738	307.1779527559055	2707595	0.57	2540	None
genome_910	100.0	25.22	Neural Network (Specific Model)	11	0.889	5967	273.89064158956467	6078894	0.5	6593	None
genome_912	62.55	0.11	Neural Network (Specific Model)	11	0.865	310622	341.70059717698155	4359853	0.46	3684	None
genome_916	70.9	4.24	Neural Network (Specific Model)	11	0.899	22358	339.28552631578947	2576372	0.52	2280	None
genome_919	99.8	23.76	Gradient Boost (General Model)	11	0.882	4709195	329.9472601458762	5992448	0.51	5347	None
genome_920	61.45	0.31	Neural Network (Specific Model)	11	0.888	139433	316.97478554717964	4112024	0.65	3847	None
genome_921	84.91	0.12	Neural Network (Specific Model)	11	0.87	331065	284.26216291353904	3519654	0.46	3597	None
genome_922	95.5	0.82	Neural Network (Specific Model)	11	0.879	520768	318.58051215277777	4999781	0.51	4608	None
genome_925	95.35	10.38	Neural Network (Specific Model)	11	0.881	15754	277.90585557624667	4563184	0.44	4833	None
genome_927	86.96	4.61	Neural Network (Specific Model)	11	0.846	917845	309.29488158899926	1431540	0.49	1309	None
genome_934	82.76	16.14	Gradient Boost (General Model)	11	0.914	1087385	314.1746119733925	1855501	0.3	1804	None
genome_938	100.0	48.93	Neural Network (Specific Model)	11	0.894	3063596	323.71589147286824	5595327	0.65	5160	None
genome_940	97.76	24.26	Gradient Boost (General Model)	11	0.871	6996328	350.6148596446047	9360070	0.66	7766	None
genome_948	78.9	4.32	Gradient Boost (General Model)	11	0.895	28763	301.7396643471142	2465773	0.49	2443	None
genome_953	83.87	7.01	Neural Network (Specific Model)	11	0.867	311939	299.1791242812915	4672065	0.49	4522	None
genome_954	95.66	33.67	Gradient Boost (General Model)	11	0.896	230588	336.19108398076213	6072263	0.49	5406	None
genome_956	75.06	0.46	Neural Network (Specific Model)	11	0.901	463615	321.9352517985611	3268071	0.66	3058	None
genome_96	75.61	0.54	Neural Network (Specific Model)	11	0.89	593527	351.72275702733924	3074335	0.43	2597	None
genome_964	100.0	25.1	Neural Network (Specific Model)	11	0.846	1605398	307.5350513606055	6040080	0.48	5549	None
genome_967	99.99	1.46	Neural Network (Specific Model)	11	0.876	6776313	318.7927985854364	6776313	0.7	6221	None
genome_969	100.0	2.9	Neural Network (Specific Model)	11	0.887	1666795	304.58980044345896	1854228	0.54	1804	None
genome_972	90.5	21.07	Neural Network (Specific Model)	11	0.846	1353450	237.56218727662616	2348970	0.4	2798	None
genome_974	74.7	9.5	Neural Network (Specific Model)	11	0.85	111979	294.6266531027467	3061567	0.42	2949	None
genome_976	95.98	95.49	Neural Network (Specific Model)	11	0.873	58471	330.8869991823385	13888890	0.66	12230	None
genome_977	56.24	5.66	Neural Network (Specific Model)	11	0.896	95502	318.8917748917749	2215108	0.4	2079	None
