genome_id	pred_completeness_fresh	pred_contamination_fresh	pred_completeness_saved	pred_contamination_saved
G_r019_uneven_coverage_5pct	58.7744	0.6347	58.774357	0.63471794
G_r019_uneven_coverage_10pct	61.2297	0.3824	61.229736	0.38236678
G_r019_uneven_coverage_20pct	65.119	0.562	65.119	0.5620152
G_r019_uneven_coverage_40pct	78.8522	0.533	78.8522	0.5330205
G_r020_none_control	53.8891	1.0815	53.889145	1.0814667
G_r020_uneven_coverage_5pct	55.0758	1.5507	55.07581	1.5506625
G_r020_uneven_coverage_10pct	58.4501	1.1043	58.450134	1.1043102
G_r020_uneven_coverage_20pct	62.8641	0.8518	62.86409	0.8518189
G_r020_uneven_coverage_40pct	72.5993	1.0059	72.59925	1.0059476
G_r021_none_control	99.7717	3.6911	99.77171	3.691125
G_r021_uneven_coverage_5pct	99.7089	6.2712	99.70891	6.2712193
G_r021_uneven_coverage_10pct	99.3104	11.0544	99.310394	11.054381
G_r021_uneven_coverage_20pct	95.0064	29.2441	95.0064	29.244095
G_r021_uneven_coverage_40pct	85.064	55.6729	85.06397	55.67287
G_r022_none_control	62.868	26.7775	62.868034	26.777452
G_r022_uneven_coverage_5pct	65.7166	28.2701	65.71658	28.270144
G_r022_uneven_coverage_10pct	71.1083	26.7906	71.10828	26.790604
G_r022_uneven_coverage_20pct	75.1862	32.4151	75.18616	32.41507
G_r022_uneven_coverage_40pct	83.1356	38.5217	83.13562	38.521744
G_r023_none_control	80.8037	23.4337	80.803696	23.433662
G_r023_uneven_coverage_5pct	85.0877	23.2798	85.08773	23.279783
G_r023_uneven_coverage_10pct	90.7253	22.0723	90.72534	22.07232
G_r023_uneven_coverage_20pct	98.8723	21.6587	98.87227	21.658686
G_r023_uneven_coverage_40pct	99.4264	34.0708	99.42641	34.07083
G_r024_none_control	81.6242	10.9799	81.624214	10.979867
G_r024_uneven_coverage_5pct	91.408	9.2028	91.40795	9.202841
G_r024_uneven_coverage_10pct	98.0899	7.9623	98.08989	7.962313
G_r024_uneven_coverage_20pct	93.4817	22.8546	93.48168	22.854555
G_r024_uneven_coverage_40pct	93.5772	34.7789	93.57719	34.77888
G_r025_none_control	79.7168	21.0597	79.71679	21.059746
G_r025_uneven_coverage_5pct	82.9776	21.5571	82.977585	21.557056
G_r025_uneven_coverage_10pct	87.5254	20.1099	87.52539	20.109882
G_r025_uneven_coverage_20pct	99.1874	18.769	99.18742	18.768957
G_r025_uneven_coverage_40pct	95.1097	41.4069	95.109726	41.406853
G_r026_none_control	85.0123	20.35	85.0123	20.349958
G_r026_uneven_coverage_5pct	87.2481	23.6979	87.248116	23.697865
G_r026_uneven_coverage_10pct	83.6814	30.4455	83.68144	30.445518
G_r026_uneven_coverage_20pct	98.7005	23.822	98.70046	23.822018
G_r026_uneven_coverage_40pct	93.3788	57.6064	93.378784	57.6064
G_r027_none_control	80.8043	2.9229	80.80429	2.9229283
G_r027_uneven_coverage_5pct	82.8875	3.4465	82.88748	3.4464717
G_r027_uneven_coverage_10pct	98.1548	2.2286	98.15484	2.2285938
G_r027_uneven_coverage_20pct	99.7232	1.1868	99.72316	1.1868119
G_r027_uneven_coverage_40pct	98.2598	18.0668	98.25981	18.066809
G_r028_none_control	82.8435	4.0202	82.84352	4.0201783
G_r028_uneven_coverage_5pct	84.5175	4.2285	84.51752	4.2284756
G_r028_uneven_coverage_10pct	98.2055	2.0473	98.20546	2.0472736
G_r028_uneven_coverage_20pct	99.5216	3.804	99.52161	3.8039684
G_r028_uneven_coverage_40pct	78.7379	44.2542	78.73793	44.254223
G_r029_none_control	55.9283	4.1634	55.92827	4.1633725
G_r029_uneven_coverage_5pct	57.919	4.5421	57.918953	4.542062
G_r029_uneven_coverage_10pct	60.971	3.4916	60.971	3.4915984
G_r029_uneven_coverage_20pct	65.8625	6.0237	65.86253	6.02372
G_r029_uneven_coverage_40pct	76.4473	4.0277	76.44734	4.02773
G_r030_none_control	81.1548	2.2349	81.15483	2.2349358
G_r030_uneven_coverage_5pct	82.8253	2.4329	82.82527	2.4329214
G_r030_uneven_coverage_10pct	88.5119	3.0565	88.511925	3.0565321
G_r030_uneven_coverage_20pct	99.7398	2.8483	99.73981	2.8482616
G_r030_uneven_coverage_40pct	99.9008	2.8796	99.90083	2.8796225
G_r031_none_control	73.8644	11.236	73.864365	11.236027
G_r031_uneven_coverage_5pct	77.7285	10.1855	77.7285	10.185483
G_r031_uneven_coverage_10pct	82.6317	7.0576	82.6317	7.057625
G_r031_uneven_coverage_20pct	93.1097	7.8829	93.10972	7.8829317
G_r031_uneven_coverage_40pct	94.3682	17.0558	94.368225	17.055813
G_r032_none_control	79.9376	4.5824	79.93756	4.582441
G_r032_uneven_coverage_5pct	85.7937	5.0545	85.79374	5.054453
G_r032_uneven_coverage_10pct	93.1655	3.8865	93.165474	3.8864522
G_r032_uneven_coverage_20pct	97.6646	5.643	97.6646	5.6430073
G_r032_uneven_coverage_40pct	89.2008	33.941	89.200806	33.941
G_r033_none_control	59.5908	35.8511	59.59075	35.851093
G_r033_uneven_coverage_5pct	61.4187	34.5594	61.41867	34.559437
G_r033_uneven_coverage_10pct	63.2096	31.8518	63.209606	31.851768
G_r033_uneven_coverage_20pct	66.6091	34.0766	66.609055	34.076637
G_r033_uneven_coverage_40pct	84.9205	29.279	84.92052	29.278969
G_r034_none_control	75.9224	12.6432	75.92243	12.643194
G_r034_uneven_coverage_5pct	77.8041	12.3071	77.80406	12.307111
G_r034_uneven_coverage_10pct	84.8807	10.1232	84.8807	10.1231575
G_r034_uneven_coverage_20pct	96.2894	13.6509	96.289444	13.650936
G_r034_uneven_coverage_40pct	96.0389	27.8036	96.03891	27.803635
G_r035_none_control	56.8776	1.7122	56.877605	1.712209
G_r035_uneven_coverage_5pct	59.0561	1.2677	59.056133	1.2677193
G_r035_uneven_coverage_10pct	61.5982	1.4538	61.598152	1.4538407
G_r035_uneven_coverage_20pct	67.1317	1.5254	67.13173	1.5253514
G_r035_uneven_coverage_40pct	80.4208	3.0786	80.42076	3.0786304
G_r036_none_control	60.4142	3.9827	60.414223	3.982696
G_r036_uneven_coverage_5pct	62.8374	4.7352	62.837357	4.7352133
G_r036_uneven_coverage_10pct	67.2779	4.0861	67.27795	4.086077
G_r036_uneven_coverage_20pct	72.7983	3.3158	72.79834	3.3158212
G_r036_uneven_coverage_40pct	84.0295	2.4484	84.02954	2.4483948
G_r037_none_control	59.7322	6.8149	59.732178	6.814921
G_r037_uneven_coverage_5pct	64.2126	6.9411	64.21256	6.9411397
G_r037_uneven_coverage_10pct	65.3621	6.6448	65.362144	6.6447735
G_r037_uneven_coverage_20pct	73.2711	7.2411	73.27113	7.241139
G_r037_uneven_coverage_40pct	83.9913	8.0894	83.99132	8.08936
G_r038_none_control	68.3575	22.5427	68.35753	22.54265
G_r038_uneven_coverage_5pct	72.2325	22.3471	72.2325	22.34709
G_r038_uneven_coverage_10pct	74.9483	24.6672	74.94835	24.667212
G_r038_uneven_coverage_20pct	82.1649	24.7376	82.16493	24.737608
G_r038_uneven_coverage_40pct	84.4046	42.7292	84.40465	42.72921
G_r039_none_control	66.8486	16.9226	66.84865	16.922554
G_r039_uneven_coverage_5pct	71.1768	17.0023	71.1768	17.002258
G_r039_uneven_coverage_10pct	68.0156	22.8577	68.015594	22.857746
G_r039_uneven_coverage_20pct	65.9098	30.7964	65.90976	30.79636
G_r039_uneven_coverage_40pct	95.8504	20.432	95.85042	20.432007
G_r040_none_control	76.8203	10.1323	76.820274	10.132286
G_r040_uneven_coverage_5pct	80.5511	10.0556	80.551094	10.055637
G_r040_uneven_coverage_10pct	86.0269	9.4544	86.026924	9.454423
G_r040_uneven_coverage_20pct	97.5296	7.8687	97.52962	7.868737
G_r040_uneven_coverage_40pct	99.5929	10.3646	99.59294	10.36461
G_r041_none_control	77.5444	3.2692	77.54437	3.269157
G_r041_uneven_coverage_5pct	81.1921	3.0115	81.19211	3.011465
G_r041_uneven_coverage_10pct	84.5646	2.8434	84.564644	2.8434486
G_r041_uneven_coverage_20pct	99.0533	2.3079	99.05331	2.307862
G_r041_uneven_coverage_40pct	99.8949	5.4351	99.894905	5.435091
G_r042_none_control	68.2198	0.2393	68.21983	0.23927987
G_r042_uneven_coverage_5pct	71.3439	0.3084	71.34393	0.30835867
G_r042_uneven_coverage_10pct	75.0992	0.2374	75.09915	0.23735464
G_r042_uneven_coverage_20pct	81.2671	0.2594	81.26707	0.25937557
G_r042_uneven_coverage_40pct	99.6347	0.153	99.63466	0.15303493
G_r043_none_control	99.6172	8.2813	99.61717	8.281332
G_r043_uneven_coverage_5pct	99.7701	10.6195	99.77012	10.619515
G_r043_uneven_coverage_10pct	99.5931	15.8176	99.59307	15.817648
G_r043_uneven_coverage_20pct	95.6568	35.0103	95.65683	35.010338
G_r043_uneven_coverage_40pct	88.843	61.0489	88.84305	61.048897
G_r044_none_control	74.7287	16.0866	74.7287	16.0866
G_r044_uneven_coverage_5pct	78.9276	16.2932	78.92762	16.29316
G_r044_uneven_coverage_10pct	81.7731	17.1765	81.77313	17.176489
G_r044_uneven_coverage_20pct	88.9882	17.2239	88.98821	17.223919
G_r044_uneven_coverage_40pct	99.3104	21.3478	99.31039	21.347794
G_r045_none_control	99.8136	1.2406	99.81357	1.240614
G_r045_uneven_coverage_5pct	99.2023	3.3897	99.20227	3.389722
G_r045_uneven_coverage_10pct	90.367	18.4596	90.36703	18.459639
G_r045_uneven_coverage_20pct	78.624	44.3633	78.62398	44.36329
G_r045_uneven_coverage_40pct	84.7965	55.1575	84.79652	55.157505
G_r046_none_control	99.8752	0.9959	99.87518	0.99591017
G_r046_uneven_coverage_5pct	99.6832	2.5348	99.68319	2.534765
G_r046_uneven_coverage_10pct	98.3643	7.0765	98.36426	7.0765376
G_r046_uneven_coverage_20pct	83.3824	39.353	83.38242	39.35303
G_r046_uneven_coverage_40pct	86.7517	55.2967	86.75174	55.296654
G_r047_none_control	57.3607	12.004	57.36072	12.004047
G_r047_uneven_coverage_5pct	59.5938	10.5431	59.59384	10.543147
G_r047_uneven_coverage_10pct	59.204	15.1991	59.20402	15.199128
G_r047_uneven_coverage_20pct	63.091	12.5813	63.09102	12.581309
G_r047_uneven_coverage_40pct	74.3102	18.3441	74.31025	18.344116
G_r048_none_control	63.0688	2.1596	63.0688	2.1595538
G_r048_uneven_coverage_5pct	66.4345	1.8187	66.43449	1.8186778
G_r048_uneven_coverage_10pct	69.5808	2.2235	69.58076	2.2235215
G_r048_uneven_coverage_20pct	76.6217	2.2602	76.62171	2.260238
G_r048_uneven_coverage_40pct	96.1733	0.5221	96.173325	0.52206516
G_r049_none_control	65.7506	0.4788	65.75059	0.47881603
G_r049_uneven_coverage_5pct	70.2923	0.4811	70.29225	0.4810661
G_r049_uneven_coverage_10pct	73.797	0.4634	73.79697	0.46337843
G_r049_uneven_coverage_20pct	79.6134	0.5601	79.61336	0.5601078
G_r049_uneven_coverage_40pct	88.7225	1.0381	88.72255	1.038146
G_r050_none_control	82.1274	2.8101	82.12742	2.810061
G_r050_uneven_coverage_5pct	84.5183	3.4031	84.51835	3.4030855
G_r050_uneven_coverage_10pct	92.4424	2.3318	92.44241	2.3318052
G_r050_uneven_coverage_20pct	98.6988	3.6419	98.69881	3.6419213
G_r050_uneven_coverage_40pct	96.7528	18.2231	96.7528	18.223127
G_r051_none_control	99.6139	14.9223	99.61389	14.922303
G_r051_uneven_coverage_5pct	99.2597	22.4098	99.25972	22.409777
G_r051_uneven_coverage_10pct	99.4944	27.4244	99.4944	27.424372
G_r051_uneven_coverage_20pct	98.9285	36.6538	98.92848	36.653812
G_r051_uneven_coverage_40pct	94.0021	52.5347	94.002075	52.534676
G_r052_none_control	54.7582	6.2593	54.758167	6.2592864
G_r052_uneven_coverage_5pct	56.4519	5.4702	56.451904	5.47021
G_r052_uneven_coverage_10pct	58.4527	7.5219	58.452698	7.5218735
G_r052_uneven_coverage_20pct	62.6599	5.8608	62.659927	5.860844
G_r052_uneven_coverage_40pct	72.148	5.6549	72.14798	5.654854
G_r053_none_control	99.2142	1.7954	99.21418	1.7953932
G_r053_uneven_coverage_5pct	99.725	2.3872	99.72499	2.3872108
G_r053_uneven_coverage_10pct	99.2374	5.8669	99.23741	5.866867
G_r053_uneven_coverage_20pct	88.0473	30.2832	88.0473	30.283176
G_r053_uneven_coverage_40pct	85.5909	50.8355	85.5909	50.835526
G_r054_none_control	98.8129	18.9701	98.81291	18.97009
G_r054_uneven_coverage_5pct	98.6249	22.6393	98.62489	22.639318
G_r054_uneven_coverage_10pct	97.6872	28.1787	97.687164	28.178692
G_r054_uneven_coverage_20pct	96.9011	33.4747	96.9011	33.47468
G_r054_uneven_coverage_40pct	94.6691	46.7179	94.66907	46.717926
G_r055_none_control	88.9028	21.6373	88.90279	21.637314
G_r055_uneven_coverage_5pct	97.0448	18.5434	97.0448	18.543375
G_r055_uneven_coverage_10pct	98.7299	20.5296	98.72989	20.52964
G_r055_uneven_coverage_20pct	98.3626	27.1626	98.362564	27.16263
G_r055_uneven_coverage_40pct	91.7958	59.3369	91.795815	59.336853
G_r056_none_control	97.9929	14.2561	97.99287	14.256072
G_r056_uneven_coverage_5pct	99.3225	16.0199	99.32254	16.019947
G_r056_uneven_coverage_10pct	99.6097	15.8813	99.60971	15.881336
G_r056_uneven_coverage_20pct	99.0067	25.7213	99.00665	25.72128
G_r056_uneven_coverage_40pct	94.4873	54.6615	94.48729	54.661457
G_r057_none_control	97.9162	0.4115	97.916176	0.41147768
G_r057_uneven_coverage_5pct	99.9176	0.4478	99.91756	0.44782162
G_r057_uneven_coverage_10pct	99.9655	0.8494	99.9655	0.849396
G_r057_uneven_coverage_20pct	99.8694	3.1588	99.86937	3.158805
G_r057_uneven_coverage_40pct	89.4473	35.7251	89.44727	35.725075
G_r058_none_control	85.2033	0.7527	85.20329	0.7526696
G_r058_uneven_coverage_5pct	88.6677	0.6416	88.66774	0.64159036
G_r058_uneven_coverage_10pct	97.9941	0.3446	97.99414	0.3446102
G_r058_uneven_coverage_20pct	99.9327	1.1658	99.932724	1.1658221
G_r058_uneven_coverage_40pct	93.0488	34.3518	93.04877	34.351826
G_r059_none_control	74.8405	5.5431	74.840485	5.543131
G_r059_uneven_coverage_5pct	77.7635	5.3616	77.7635	5.3616195
G_r059_uneven_coverage_10pct	83.9596	5.7707	83.95965	5.770743
G_r059_uneven_coverage_20pct	96.7257	4.2905	96.725716	4.290515
G_r059_uneven_coverage_40pct	99.5269	6.1731	99.52687	6.1731043
G_r060_none_control	59.6618	9.4762	59.6618	9.476164
G_r060_uneven_coverage_5pct	60.9753	11.1909	60.975285	11.190918
G_r060_uneven_coverage_10pct	65.1708	10.6009	65.17078	10.600864
G_r060_uneven_coverage_20pct	67.0639	15.3175	67.063934	15.317479
G_r060_uneven_coverage_40pct	84.0067	7.3246	84.00673	7.3245735
G_r061_none_control	93.1624	4.7462	93.162445	4.746217
G_r061_uneven_coverage_5pct	99.1306	3.6496	99.13061	3.6495657
G_r061_uneven_coverage_10pct	99.7193	4.648	99.719284	4.648039
G_r061_uneven_coverage_20pct	99.8291	6.8665	99.82913	6.8665085
G_r061_uneven_coverage_40pct	99.5321	14.1163	99.53205	14.116326
G_r062_none_control	84.2673	3.9428	84.26726	3.9427786
G_r062_uneven_coverage_5pct	94.3269	2.9173	94.32686	2.9172869
G_r062_uneven_coverage_10pct	97.1975	3.9582	97.197464	3.9582312
G_r062_uneven_coverage_20pct	99.875	2.5782	99.874985	2.578181
G_r062_uneven_coverage_40pct	98.4418	17.4185	98.44181	17.418476
G_r063_none_control	85.9369	1.7845	85.936905	1.7845035
G_r063_uneven_coverage_5pct	95.5939	1.5202	95.59387	1.5201777
G_r063_uneven_coverage_10pct	99.7454	1.0649	99.74537	1.0648519
G_r063_uneven_coverage_20pct	99.9649	1.8451	99.964874	1.8450975
G_r063_uneven_coverage_40pct	99.6731	8.6163	99.67308	8.616346
G_r064_none_control	99.9183	0.7173	99.918335	0.7173091
G_r064_uneven_coverage_5pct	99.9627	0.8064	99.96272	0.8064121
G_r064_uneven_coverage_10pct	99.9642	0.9694	99.96416	0.9694129
G_r064_uneven_coverage_20pct	99.964	1.2841	99.96403	1.2841374
G_r064_uneven_coverage_40pct	99.7541	8.8462	99.754135	8.846199
G_r065_none_control	99.9245	2.0044	99.92452	2.004364
G_r065_uneven_coverage_5pct	99.9444	3.1248	99.94437	3.1248302
G_r065_uneven_coverage_10pct	99.7752	5.8328	99.77521	5.832821
G_r065_uneven_coverage_20pct	92.1687	28.0968	92.16872	28.096815
G_r065_uneven_coverage_40pct	84.7747	49.3605	84.77475	49.36049
G_r066_none_control	85.1189	5.6288	85.11892	5.6287584
G_r066_uneven_coverage_5pct	91.5745	6.2158	91.57449	6.2158017
G_r066_uneven_coverage_10pct	98.7685	4.7604	98.76847	4.7604055
G_r066_uneven_coverage_20pct	99.9393	5.1825	99.93935	5.1824627
G_r066_uneven_coverage_40pct	99.6447	12.8291	99.64467	12.829081
G_r067_none_control	99.5367	11.727	99.53674	11.726999
G_r067_uneven_coverage_5pct	99.8935	12.2819	99.89355	12.281948
G_r067_uneven_coverage_10pct	99.8271	18.4831	99.82713	18.483126
G_r067_uneven_coverage_20pct	99.0393	25.9818	99.03934	25.981846
G_r067_uneven_coverage_40pct	91.0462	53.5093	91.04619	53.50927
G_r068_none_control	84.2211	1.1472	84.22106	1.147157
G_r068_uneven_coverage_5pct	84.0075	3.9729	84.00752	3.9729357
G_r068_uneven_coverage_10pct	72.5169	14.677	72.51689	14.676964
G_r068_uneven_coverage_20pct	62.5439	38.4978	62.5439	38.497753
G_r068_uneven_coverage_40pct	69.8863	49.7014	69.88631	49.701405
G_r069_none_control	68.1703	12.0212	68.17035	12.021232
G_r069_uneven_coverage_5pct	72.0681	11.7617	72.06807	11.761719
G_r069_uneven_coverage_10pct	75.7893	12.5476	75.78926	12.547559
G_r069_uneven_coverage_20pct	83.0239	11.7457	83.02393	11.745739
G_r069_uneven_coverage_40pct	99.744	7.8803	99.74405	7.8802767
G_r070_none_control	57.4226	11.1455	57.422577	11.145502
G_r070_uneven_coverage_5pct	59.0444	12.1622	59.044407	12.162167
G_r070_uneven_coverage_10pct	62.6355	11.0973	62.635498	11.097318
G_r070_uneven_coverage_20pct	68.663	11.2944	68.663	11.294421
G_r070_uneven_coverage_40pct	76.3565	16.6296	76.35654	16.629564
G_r071_none_control	87.5797	0.6559	87.579704	0.6558955
G_r071_uneven_coverage_5pct	95.6071	0.5483	95.60712	0.5483389
G_r071_uneven_coverage_10pct	99.9259	0.5008	99.925934	0.5007565
G_r071_uneven_coverage_20pct	99.9624	1.193	99.962395	1.1930496
G_r071_uneven_coverage_40pct	95.9961	24.7397	95.996124	24.73967
G_r072_none_control	70.1782	6.6932	70.17823	6.693202
G_r072_uneven_coverage_5pct	72.9333	7.4713	72.93335	7.4712663
G_r072_uneven_coverage_10pct	78.5009	6.3066	78.500916	6.3066063
G_r072_uneven_coverage_20pct	84.167	6.3906	84.16698	6.390601
G_r072_uneven_coverage_40pct	99.6056	6.9315	99.605576	6.931451
G_r073_none_control	93.0217	12.5364	93.02167	12.53643
G_r073_uneven_coverage_5pct	98.5024	10.8346	98.50244	10.834622
G_r073_uneven_coverage_10pct	98.6459	16.0084	98.64589	16.008436
G_r073_uneven_coverage_20pct	98.7794	21.1518	98.77938	21.151785
G_r073_uneven_coverage_40pct	92.7086	41.3768	92.70859	41.37678
G_r074_none_control	99.7436	19.8596	99.74357	19.859615
G_r074_uneven_coverage_5pct	99.5686	26.2447	99.56857	26.24467
G_r074_uneven_coverage_10pct	99.5742	32.6099	99.574196	32.60991
G_r074_uneven_coverage_20pct	99.9337	31.296	99.933655	31.296003
G_r074_uneven_coverage_40pct	99.7262	57.5476	99.72618	57.54764
G_r075_none_control	81.0876	3.6254	81.08761	3.6254196
G_r075_uneven_coverage_5pct	85.069	2.6576	85.068985	2.6575894
G_r075_uneven_coverage_10pct	95.19	1.0007	95.19002	1.0006994
G_r075_uneven_coverage_20pct	99.7101	0.9047	99.71007	0.9046793
G_r075_uneven_coverage_40pct	79.5224	44.255	79.52244	44.255005
G_r076_none_control	98.7776	0.0426	98.777626	0.04260838
G_r076_uneven_coverage_5pct	99.5157	0.0598	99.51568	0.05978942
G_r076_uneven_coverage_10pct	99.8288	0.0787	99.82881	0.078713894
G_r076_uneven_coverage_20pct	99.7857	1.5664	99.785736	1.5663654
G_r076_uneven_coverage_40pct	99.905	1.5066	99.90501	1.5065819
G_r077_none_control	99.8923	9.3605	99.8923	9.360516
G_r077_uneven_coverage_5pct	99.8342	13.4878	99.83418	13.487837
G_r077_uneven_coverage_10pct	99.7042	20.0896	99.70418	20.089603
G_r077_uneven_coverage_20pct	99.7223	25.0498	99.72232	25.04984
G_r077_uneven_coverage_40pct	94.8752	66.1692	94.87517	66.169174
