# set_D_clean — 100 unique dominant reference genomes, 10 independent simulations each.
# All are members of the held-out test split (data/splits/test_genomes.tsv) and of no other split.
dominant_accession	dominant_phylum	dominant_taxonomy	dominant_reference_bp	ref_index	canonical_key	in_train_split	in_val_split	in_test_split	in_kmer_selection
GB_GCA_027376345.1	Thermoplasmatota	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__JAJYEA01;s__JAJYEA01 sp021809545	2183439	18	027376345	False	False	True	False
GB_GCA_027382085.1	Thermoplasmatota	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__JAJYEA01;s__JAJYEA01 sp021809545	2252137	19	027382085	False	False	True	False
GB_GCA_028275705.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__UBA285 sp028275705	1471505	20	028275705	False	False	True	False
GB_GCA_029258915.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__EX4484-217-1;f__EX4484-217-1;g__EX4484-217-1;s__EX4484-217-1 sp029258915	1597638	21	029258915	False	False	True	False
GB_GCA_029775915.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JANXEG01;g__JANXEG01;s__JANXEG01 sp029775915	1470771	22	029775915	False	False	True	False
GB_GCA_030054695.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp029556335	1729695	23	030054695	False	False	True	False
GB_GCA_035360155.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__DSM-23052;g__Methanothermobacter_A;s__Methanothermobacter_A sp003584625	1407137	24	035360155	False	False	True	False
GB_GCA_036525555.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp036525555	1375526	25	036525555	False	False	True	False
GB_GCA_038727015.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus sp038893495	1992133	26	038727015	False	False	True	False
GB_GCA_038827615.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__Thermosphaera;s__Thermosphaera sp038827615	1364870	27	038827615	False	False	True	False
GB_GCA_038869635.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp038890395	1743436	28	038869635	False	False	True	False
GB_GCA_038872015.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Fervidicoccaceae;g__ARK-14;s__ARK-14 sp038734945	1291545	29	038872015	False	False	True	False
GB_GCA_038878695.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Fervidicoccaceae;g__JAVZVD01;s__JAVZVD01 sp038878695	1112410	30	038878695	False	False	True	False
GB_GCA_038888075.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__Thermosphaera;s__Thermosphaera sp038827615	1337485	31	038888075	False	False	True	False
GB_GCA_038888595.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp038893835	1190296	32	038888595	False	False	True	False
GB_GCA_040776445.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__SD8;s__SD8 sp018432765	2329015	33	040776445	False	False	True	False
GB_GCA_041394965.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrosocosmicus;s__Nitrosocosmicus sp008389435	3649648	34	041394965	False	False	True	False
GB_GCA_041672285.1	Thermoplasmatota	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__VadinCA11;s__VadinCA11 sp002498365	1250915	35	041672285	False	False	True	False
GB_GCA_958422285.1	Thermoplasmatota	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola sp905187815	1811866	36	958422285	False	False	True	False
GB_GCA_958427865.1	Thermoplasmatota	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanarcanum;s__Methanarcanum hacksteinii	1484253	37	958427865	False	False	True	False
GB_GCA_963980945.1	Nanobdellota	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__JABGXB01;g__JABGXB01;s__JABGXB01 sp018675975	1042604	38	963980945	False	False	True	False
GB_GCA_963997705.1	Nanobdellota	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__UBA10216;g__UBA492;s__UBA492 sp002688315	913915	39	963997705	False	False	True	False
RS_GCF_000018465.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus maritimus	1645259	40	000018465	False	False	True	False
RS_GCF_000022385.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__Saccharolobus islandicus	2736272	41	000022385	False	False	True	False
RS_GCF_000023945.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus utahensis	3116795	42	000023945	False	False	True	False
RS_GCF_000024305.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__Saccharolobus islandicus	2748647	43	000024305	False	False	True	False
RS_GCF_000190075.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella smithii_A	1972498	44	000190075	False	False	True	False
RS_GCF_000190135.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella smithii_A	1975004	45	000190135	False	False	True	False
RS_GCF_000190315.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta moutnovskia	2298983	46	000190315	False	False	True	False
RS_GCF_000211475.1	Methanobacteriota_B	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus sp000211475	1861320	47	000211475	False	False	True	False
RS_GCF_000223905.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula hispanica	3890005	48	000223905	False	False	True	False
RS_GCF_000243255.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus;s__Methanoplanus limicola	3200946	49	000243255	False	False	True	False
RS_GCF_000245255.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__Saccharolobus islandicus	2694762	50	000245255	False	False	True	False
RS_GCF_000245275.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__Saccharolobus islandicus	2637559	51	000245275	False	False	True	False
RS_GCF_000265525.1	Methanobacteriota_B	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus cleftensis	1950313	52	000265525	False	False	True	False
RS_GCF_000328665.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica	2714013	53	000328665	False	False	True	False
RS_GCF_000337195.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema versiforme	4190799	54	000337195	False	False	True	False
RS_GCF_000337875.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrialba;s__Natrialba magadii	4416299	55	000337875	False	False	True	False
RS_GCF_000734035.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus fulgidus	2316287	56	000734035	False	False	True	False
RS_GCF_001280425.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula rubripromontorii	3970989	57	001280425	False	False	True	False
RS_GCF_001305655.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halanaeroarchaeum;s__Halanaeroarchaeum sulfurireducens	2253500	58	001305655	False	False	True	False
RS_GCF_001560405.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius	2238124	59	001560405	False	False	True	False
RS_GCF_001560725.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius	2240047	60	001560725	False	False	True	False
RS_GCF_001889405.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus halophilus	2022959	61	001889405	False	False	True	False
RS_GCF_002072215.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobinarius;s__Methanobinarius arboriphilus	2445031	62	002072215	False	False	True	False
RS_GCF_002252585.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella smithii_A	1926345	63	002252585	False	False	True	False
RS_GCF_002813675.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium subterraneum	2524329	64	002813675	False	False	True	False
RS_GCF_003287355.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003287355	3584929	65	003287355	False	False	True	False
RS_GCF_003852215.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__Saccharolobus solfataricus	2668974	66	003852215	False	False	True	False
RS_GCF_003990725.2	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003990725	3044466	67	003990725	False	False	True	False
RS_GCF_004944975.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus amylolytica	3464929	68	004944975	False	False	True	False
RS_GCF_009914355.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter wolfei	1724502	69	009914355	False	False	True	False
RS_GCF_012726095.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium sp009617995	3395844	70	012726095	False	False	True	False
RS_GCF_013177915.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix_B;s__Methanothrix_B thermoacetophila	1832060	71	013177915	False	False	True	False
RS_GCF_013267195.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum salinarum	3340250	72	013267195	False	False	True	False
RS_GCF_013761165.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis	1779103	73	013761165	False	False	True	False
RS_GCF_014078535.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus piranensis	1617564	74	014078535	False	False	True	False
RS_GCF_014889545.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus_A	1654216	75	014889545	False	False	True	False
RS_GCF_016635065.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum salipaludis	3301211	76	016635065	False	False	True	False
RS_GCF_017352095.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema longum	3588874	77	017352095	False	False	True	False
RS_GCF_017409525.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella sp017409525	2110927	78	017409525	False	False	True	False
RS_GCF_017874455.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_C;s__Methanobacterium_C aggregans	2347771	79	017874455	False	False	True	False
RS_GCF_022427045.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	2175192	80	022427045	False	False	True	False
RS_GCF_024170265.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocalculus;s__Methanocalculus natronophilus	1957917	81	024170265	False	False	True	False
RS_GCF_024498335.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus;s__Halobellus inordinatus	2853958	82	024498335	False	False	True	False
RS_GCF_028211275.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ezzemoulense	3727467	83	028211275	False	False	True	False
RS_GCF_028471865.1	Methanobacteriota_B	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus kodakarensis	2078475	84	028471865	False	False	True	False
RS_GCF_029012245.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter ruminantium_A	1940404	85	029012245	False	False	True	False
RS_GCF_029633965.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanogenium;s__Methanogenium sp029633965	2513916	86	029633965	False	False	True	False
RS_GCF_030017545.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter wolfei	1637839	87	030017545	False	False	True	False
RS_GCF_030055635.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix_B;s__Methanothrix_B sp030055635	1763032	88	030055635	False	False	True	False
RS_GCF_036429475.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halalkalicoccaceae;g__SKXI01;s__SKXI01 sp036429475	4035917	89	036429475	False	False	True	False
RS_GCF_039641995.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus acetivorans	1903522	90	039641995	False	False	True	False
RS_GCF_040743285.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula rubripromontorii	4125613	91	040743285	False	False	True	False
RS_GCF_041154675.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Sulfurisphaera;s__Sulfurisphaera javensis	2569661	92	041154675	False	False	True	False
RS_GCF_041647945.1	Methanobacteriota_B	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus kukulkanii	2030899	93	041647945	False	False	True	False
RS_GCF_900090055.1	Thermoplasmatota	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Cuniculiplasma;s__Cuniculiplasma divulgatum	1878916	94	900090055	False	False	True	False
RS_GCF_900102305.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorientalis;s__Halorientalis regularis	4032197	95	900102305	False	False	True	False
RS_GCF_900113245.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halopelagius;s__Halopelagius inordinatus	3529311	96	900113245	False	False	True	False
RS_GCF_900114585.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter olleyae	2122444	97	900114585	False	False	True	False
RS_GCF_902496735.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765	1905101	98	902496735	False	False	True	False
RS_GCF_945873965.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella smithii	1712501	99	945873965	False	False	True	False
