# set_C_clean — 100 unique dominant reference genomes, 10 independent simulations each.
# All are members of the held-out test split (data/splits/test_genomes.tsv) and of no other split.
dominant_accession	dominant_phylum	dominant_taxonomy	dominant_reference_bp	ref_index	canonical_key	in_train_split	in_val_split	in_test_split	in_kmer_selection
GB_GCA_002787695.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__1-14-0-10-42-12;g__1-14-0-10-42-12;s__1-14-0-10-42-12 sp002787695	674785	16	002787695	False	False	True	False
GB_GCA_003484955.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__UBA8517;s__UBA8517 sp003484955	750541	17	003484955	False	False	True	False
GB_GCA_003487225.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA10092;f__UBA10092;g__UBA10092;s__UBA10092 sp003455995	582189	18	003487225	False	False	True	False
GB_GCA_003504275.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA12445;g__UBA12445;s__UBA12445 sp003504275	886882	19	003504275	False	False	True	False
GB_GCA_003551845.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__PWPS01;g__PWPS01;s__PWPS01 sp003551845	864282	20	003551845	False	False	True	False
GB_GCA_005239865.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__SBBC01;f__SBBC01;g__Microgenomatus_A;s__Microgenomatus_A auricola_A	1002208	21	005239865	False	False	True	False
GB_GCA_009994005.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Gracilibacteria;o__UBA4473;f__UBA4473;g__JAACPJ01;s__JAACPJ01 sp009995455	1422573	22	009994005	False	False	True	False
GB_GCA_013100845.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosynbacteraceae;g__Nanosynbacter;s__Nanosynbacter sp005697215	847999	23	013100845	False	False	True	False
GB_GCA_015663315.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__DTSZ01;g__DTSZ01;s__DTSZ01 sp012965045	908873	24	015663315	False	False	True	False
GB_GCA_016181845.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__21-14-all-47-15;g__JACROH01;s__JACROH01 sp016181845	741763	25	016181845	False	False	True	False
GB_GCA_016181965.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__MHMH01;g__JACOYH01;s__JACOYH01 sp016181965	603342	26	016181965	False	False	True	False
GB_GCA_016186485.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__UBA6532;g__JACPLN01;s__JACPLN01 sp016186485	686960	27	016186485	False	False	True	False
GB_GCA_016186495.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__JACROR01;f__JACROR01;g__JACPLO01;s__JACPLO01 sp016186495	653689	28	016186495	False	False	True	False
GB_GCA_016195715.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__Daviesbacterales;f__UBA10151;g__JACPZA01;s__JACPZA01 sp016195715	1149344	29	016195715	False	False	True	False
GB_GCA_016432465.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Sungbacterales;f__HO2-52-23;g__GCA-016432465;s__GCA-016432465 sp016432465	923469	30	016432465	False	False	True	False
GB_GCA_016700375.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JAGXIT01;s__JAGXIT01 sp016700375	1256494	31	016700375	False	False	True	False
GB_GCA_017406775.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017406775	720418	32	017406775	False	False	True	False
GB_GCA_018647845.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__Magasanikbacterales;f__UBA922;g__JABIEQ01;s__JABIEQ01 sp018651085	935487	33	018647845	False	False	True	False
GB_GCA_018649525.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UBA1400;f__PJMF01;g__JABBGTR01;s__JABBGTR01 sp018646985	1014778	34	018649525	False	False	True	False
GB_GCA_018657425.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__Magasanikbacterales;f__UBA922;g__JABIEQ01;s__JABIEQ01 sp018651085	916820	35	018657425	False	False	True	False
GB_GCA_018816885.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Gracilibacteria;o__UBA1369;f__UBA12470;g__JAHIUS01;s__JAHIUS01 sp018816885	1259825	36	018816885	False	False	True	False
GB_GCA_019634005.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA918;g__JAHQWD01;s__JAHQWD01 sp019634005	638310	37	019634005	False	False	True	False
GB_GCA_020724865.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__S139-126;f__S139-126;g__DYGA01;s__DYGA01 sp020724865	800321	38	020724865	False	False	True	False
GB_GCA_020724905.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__JAGOQP01;g__DYGB01;s__DYGB01 sp020724905	575572	39	020724905	False	False	True	False
GB_GCA_021786945.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__02-FULL-45-10c;g__JAHILT01;s__JAHILT01 sp021786945	700109	40	021786945	False	False	True	False
GB_GCA_021815445.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__UBA10025;f__UBA10025;g__JAKAGM01;s__JAKAGM01 sp021815445	1260943	41	021815445	False	False	True	False
GB_GCA_021833765.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Moranbacterales;f__UBA2206;g__UBA9630;s__UBA9630 sp021777675	953729	42	021833765	False	False	True	False
GB_GCA_022763365.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA1006;g__UBA1006;s__UBA1006 sp022763365	762528	43	022763365	False	False	True	False
GB_GCA_023245035.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__1-14-0-10-40-38;g__JAHFLD01;s__JAHFLD01 sp023245035	715905	44	023245035	False	False	True	False
GB_GCA_023267755.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA2103;g__C7867-001;s__C7867-001 sp023267755	583495	45	023267755	False	False	True	False
GB_GCA_025999275.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__Ch104c;s__Ch104c sp025999275	785860	46	025999275	False	False	True	False
GB_GCA_026396275.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Moranbacterales;f__JAPLXC01;g__JAPLXC01;s__JAPLXC01 sp026396275	810038	47	026396275	False	False	True	False
GB_GCA_026396515.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__Magasanikbacterales;f__GWA2-37-8;g__JAPLWQ01;s__JAPLWQ01 sp026396515	966150	48	026396515	False	False	True	False
GB_GCA_026417895.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__UBA2591;f__CALHIP01;g__CALHIP01;s__CALHIP01 sp026417895	649900	49	026417895	False	False	True	False
GB_GCA_027422835.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA1550;g__UBA1550;s__UBA1550 sp021812665	699231	50	027422835	False	False	True	False
GB_GCA_028710985.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__JAHJFT01;f__JAHJFT01;g__JAQTTB01;s__JAQTTB01 sp028710985	1028589	51	028710985	False	False	True	False
GB_GCA_028718865.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__UBA1558;f__GWA2-36-10;g__STD1-117;s__STD1-117 sp028718865	877111	52	028718865	False	False	True	False
GB_GCA_028865035.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA9973;g__UBA8515;s__UBA8515 sp028865035	734988	53	028865035	False	False	True	False
GB_GCA_028870835.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__2-01-FULL-56-20;g__REEB91;s__REEB91 sp018971305	987749	54	028870835	False	False	True	False
GB_GCA_029288615.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__CAIRYW01;g__JARIGV01;s__JARIGV01 sp029288615	787960	55	029288615	False	False	True	False
GB_GCA_030531645.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__Nanosyncoccus;s__Nanosyncoccus sp030531645	771005	56	030531645	False	False	True	False
GB_GCA_030616085.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__GWA2-38-27;g__JAUWYA01;s__JAUWYA01 sp030616085	740160	57	030616085	False	False	True	False
GB_GCA_035390125.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Moranbacterales;f__GWC2-37-73;g__DAOOTD01;s__DAOOTD01 sp022709545	832317	58	035390125	False	False	True	False
GB_GCA_035445505.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__UBA1547 sp937863415	843323	59	035445505	False	False	True	False
GB_GCA_035489575.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JAGQNK01;g__JAGQNK01;s__JAGQNK01 sp035489575	1518044	60	035489575	False	False	True	False
GB_GCA_035690865.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__CAMLQK01;s__CAMLQK01 sp035690865	1191846	61	035690865	False	False	True	False
GB_GCA_036388555.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA4665;s__UBA4665 sp036388555	1412329	62	036388555	False	False	True	False
GB_GCA_036783885.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA10092;f__UBA10092;g__UBA10092;s__UBA10092 sp003455995	592532	63	036783885	False	False	True	False
GB_GCA_037137935.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__AQU-01;g__CALRGT01;s__CALRGT01 sp037137935	808545	64	037137935	False	False	True	False
GB_GCA_037142555.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UBA12405;f__UBA12405;g__WARW01;s__WARW01 sp037142555	776848	65	037142555	False	False	True	False
GB_GCA_038064415.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__PALSA-1337;g__C7867-002;s__C7867-002 sp038064415	643359	66	038064415	False	False	True	False
GB_GCA_038065715.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__Staskawiczbacteraceae;g__JBBTQL01;s__JBBTQL01 sp038065715	754610	67	038065715	False	False	True	False
GB_GCA_038316195.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JBBQAJ01;g__JBBQAJ01;s__JBBQAJ01 sp038316195	887939	68	038316195	False	False	True	False
GB_GCA_040900375.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Andersenbacteria;o__UBA10190;f__UBA10190;g__JBBDZC01;s__JBBDZC01 sp040900375	1026843	69	040900375	False	False	True	False
GB_GCA_041649435.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__Minisyncoccaceae;g__UBA6220;s__UBA6220 sp041649435	672826	70	041649435	False	False	True	False
GB_GCA_041650515.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__JACRDY01;f__JACRDY01;g__JBAZLA01;s__JBAZLA01 sp041650515	1053918	71	041650515	False	False	True	False
GB_GCA_041650715.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__Patescibacteriales;f__UBA12465;g__UBA12465;s__UBA12465 sp041650715	957592	72	041650715	False	False	True	False
GB_GCA_041650895.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__2-01-FULL-39-33;f__2-01-FULL-39-33;g__CAISTG01;s__CAISTG01 sp041650895	1248144	73	041650895	False	False	True	False
GB_GCA_041651535.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__Magasanikbacterales;f__UBA922;g__JBAZIZ01;s__JBAZIZ01 sp041651535	903143	74	041651535	False	False	True	False
GB_GCA_041660785.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UBA1406;f__GWC2-37-13;g__GWC2-37-13;s__GWC2-37-13 sp041660785	1095699	75	041660785	False	False	True	False
GB_GCA_041661005.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA9973;g__UBA9973;s__UBA9973 sp041661005	932948	76	041661005	False	False	True	False
GB_GCA_041661105.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__2-12-FULL-60-25;f__2-12-FULL-60-25;g__MWCR01;s__MWCR01 sp041661105	1368504	77	041661105	False	False	True	False
GB_GCA_041674105.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__DATDWN01;g__JBAYWK01;s__JBAYWK01 sp041674105	591453	78	041674105	False	False	True	False
GB_GCA_041742395.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JACQNP01;g__JAGQNP01;s__JAGQNP01 sp041742395	1098858	79	041742395	False	False	True	False
GB_GCA_903829335.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__CAIYEO01;s__CAIYEO01 sp903840315	741305	80	903829335	False	False	True	False
GB_GCA_903831805.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Moranbacterales;f__UBA2206;g__CAIKZD01;s__CAIKZD01 sp903831805	1035243	81	903831805	False	False	True	False
GB_GCA_903837185.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA9973;g__CAITQP01;s__CAITQP01 sp903894565	924442	82	903837185	False	False	True	False
GB_GCA_903852245.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__UBA1384;o__UBA12157;f__UBA12157;g__CAIRFN01;s__CAIRFN01 sp903877885	999467	83	903852245	False	False	True	False
GB_GCA_903895745.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA9973;g__CAITGV01;s__CAITGV01 sp903892035	806700	84	903895745	False	False	True	False
GB_GCA_905478415.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UBA1400;f__PJMF01;g__CG1-02-43-31;s__CG1-02-43-31 sp905478415	1252499	85	905478415	False	False	True	False
GB_GCA_937929825.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__Veblenbacterales;f__UBA10138;g__UBA10138;s__UBA10138 sp937929825	801535	86	937929825	False	False	True	False
GB_GCA_938030095.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp938030095	1012684	87	938030095	False	False	True	False
GB_GCA_938036615.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanoperiomorbaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp938036615	856865	88	938036615	False	False	True	False
GB_GCA_943354835.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__WWE3;o__2-01-FULL-39-13;f__2-01-FULL-39-13;g__GCA-002789015;s__GCA-002789015 sp943354835	884255	89	943354835	False	False	True	False
GB_GCA_943356865.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__JACQLN01;f__JACQLN01;g__JACQLN01;s__JACQLN01 sp943359335	609297	90	943356865	False	False	True	False
GB_GCA_946406315.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__UBA2834;s__UBA2834 sp946406315	1074688	91	946406315	False	False	True	False
GB_GCA_947084965.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__UBA9934;f__UBA9568;g__CAMTUG01;s__CAMTUG01 sp947084965	927471	92	947084965	False	False	True	False
GB_GCA_948772475.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__Nanosyncoccus;s__Nanosyncoccus sp947570505	948525	93	948772475	False	False	True	False
GB_GCA_948780445.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__Nanosyncoccus;s__Nanosyncoccus sp948851665	871446	94	948780445	False	False	True	False
GB_GCA_963521755.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp937981355	1131498	95	963521755	False	False	True	False
GB_GCA_963619335.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__Nanosyncoccus;s__Nanosyncoccus sp963619335	775697	96	963619335	False	False	True	False
GB_GCA_963623365.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__UBA2834;s__UBA2834 sp963623365	811683	97	963623365	False	False	True	False
GB_GCA_963636795.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__UBA2834;s__UBA2834 sp963623365	855488	98	963636795	False	False	True	False
GB_GCA_963978955.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UBA1400;f__PJMF01;g__CG2-30-36-39;s__CG2-30-36-39 sp018657765	951770	99	963978955	False	False	True	False
