# set_H_ncbi — 400 unique dominant reference genomes, 10 independent simulations each.
# Selected by NCBI assembly_level == "Complete Genome" with NO CheckM2 filter (R1-m13 circularity safeguard).
# in_curation_pool_277k = the genome WOULD have entered the project's CheckM2-filtered reference pool.
dominant_accession	dominant_phylum	dominant_taxonomy	dominant_reference_bp	ref_index	arm	pair_id	match_level	would_pass_original_filter	checkm2_severity	ref_checkm2_completeness	ref_checkm2_contamination	ref_contig_count	ref_n50_contigs	ref_ncbi_assembly_level	canonical_key	in_train	in_val	in_test	in_kmer_selection	in_curation_pool_277k
GB_GCA_001816225.4	Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	5433862	10	H_fail	pair_0005	species	False	moderate	94.2	3.55	4	5370799	Complete Genome	001816225	False	False	False	False	False
RS_GCF_000025985.1	Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	5241700	11	H_pass	pair_0005	species	True	pass	99.91	0.63	2	5205140	Complete Genome	000025985	False	False	False	False	True
GB_GCA_001886995.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	4912568	12	H_fail	pair_0006	species	False	mild	100.0	2.01	3	4817416	Complete Genome	001886995	False	False	False	False	False
RS_GCF_024266185.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	4911276	13	H_pass	pair_0006	species	True	pass	100.0	0.23	3	4645547	Complete Genome	024266185	False	False	False	False	True
GB_GCA_002163795.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio anguillarum	3097087	14	H_fail	pair_0007	species	False	severe	72.51	0.03	1	3097087	Complete Genome	002163795	False	False	False	False	False
RS_GCF_003595585.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio anguillarum	4015925	15	H_pass	pair_0007	species	True	pass	100.0	0.14	2	2906233	Complete Genome	003595585	False	False	False	False	True
GB_GCA_003019195.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	5455986	16	H_fail	pair_0008	species	False	mild	96.7	2.15	2	5329029	Complete Genome	003019195	False	False	False	False	False
RS_GCF_001677515.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	5456185	17	H_pass	pair_0008	species	True	pass	100.0	0.06	2	5213998	Complete Genome	001677515	False	False	False	False	True
GB_GCA_003359255.2	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	4110068	18	H_fail	pair_0009	species	False	mild	96.23	1.84	4	3919679	Complete Genome	003359255	False	False	False	False	False
RS_GCF_029714165.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	4109113	19	H_pass	pair_0009	species	True	pass	100.0	0.2	3	4032275	Complete Genome	029714165	False	False	False	False	True
GB_GCA_003970805.2	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Undibacterium;s__Undibacterium piscinae	4186344	20	H_fail	pair_0010	genus	False	mild	97.39	0.74	1	4186344	Complete Genome	003970805	False	False	False	False	False
RS_GCF_031326225.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Undibacterium;s__Undibacterium cyanobacteriorum	4538647	21	H_pass	pair_0010	genus	True	pass	99.96	0.11	1	4538647	Complete Genome	031326225	False	False	False	False	True
GB_GCA_003999465.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila	4304746	22	H_fail	pair_0011	species	False	severe	82.99	0.68	2	4139625	Complete Genome	003999465	False	False	False	False	False
RS_GCF_020405385.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila	4695915	23	H_pass	pair_0011	species	True	pass	100.0	0.29	1	4695915	Complete Genome	020405385	False	False	False	False	True
GB_GCA_007998065.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	5938889	24	H_fail	pair_0012	species	False	moderate	91.38	5.23	12	5087415	Complete Genome	007998065	False	False	False	False	False
RS_GCF_014058445.2	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	5936184	25	H_pass	pair_0012	species	True	pass	100.0	0.38	7	5705580	Complete Genome	014058445	False	False	False	False	True
GB_GCA_007998105.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	5340928	26	H_fail	pair_0013	species	False	severe	83.28	5.83	7	4717320	Complete Genome	007998105	False	False	False	False	False
RS_GCF_041320175.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	5340857	27	H_pass	pair_0013	species	True	pass	100.0	0.28	6	4731931	Complete Genome	041320175	False	False	False	False	True
GB_GCA_009664105.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas oryzae	5024861	28	H_fail	pair_0014	species	False	severe	65.13	1.81	1	5024861	Complete Genome	009664105	False	False	False	False	False
RS_GCF_001518895.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas oryzae	5025428	29	H_pass	pair_0014	species	True	pass	100.0	0.39	1	5025428	Complete Genome	001518895	False	False	False	False	True
GB_GCA_010694505.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	6367369	30	H_fail	pair_0015	species	False	moderate	95.75	2.3	1	6367369	Complete Genome	010694505	False	False	False	False	False
RS_GCF_001077475.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	6368008	31	H_pass	pair_0015	species	True	pass	100.0	0.11	1	6368008	Complete Genome	001077475	False	False	False	False	True
GB_GCA_011765405.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	6048138	32	H_fail	pair_0016	species	False	moderate	94.99	2.75	5	5494670	Complete Genome	011765405	False	False	False	False	False
RS_GCF_030271855.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	6048400	33	H_pass	pair_0016	species	True	pass	100.0	0.65	3	5465190	Complete Genome	030271855	False	False	False	False	True
GB_GCA_012971805.2	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus_F;s__Rhodococcus_F opacus	10275967	34	H_fail	pair_0017	species	False	moderate	100.0	5.26	4	7901160	Complete Genome	012971805	False	False	False	False	False
GB_GCA_000599545.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus_F;s__Rhodococcus_F opacus	9169032	35	H_pass	pair_0017	species	True	pass	100.0	0.98	10	8376953	Complete Genome	000599545	False	False	False	False	True
GB_GCA_013127575.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__Ramlibacter terrae	5277406	36	H_fail	pair_0018	genus	False	severe	63.72	1.4	1	5277406	Complete Genome	013127575	False	False	False	False	False
RS_GCF_001580455.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__Ramlibacter tataouinensis_B	4916630	37	H_pass	pair_0018	genus	True	pass	100.0	1.03	1	4916630	Complete Genome	001580455	False	False	False	False	True
GB_GCA_013315855.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	5303425	38	H_fail	pair_0019	species	False	mild	99.45	3.59	2	5191256	Complete Genome	013315855	False	False	False	False	False
GB_GCA_024300745.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	5303321	39	H_pass	pair_0019	species	True	pass	100.0	0.17	3	5288508	Complete Genome	024300745	False	False	False	False	True
GB_GCA_014251975.1	Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_B;f__Blattabacteriaceae;g__Blattabacterium;s__Blattabacterium cuenoti_AM	511065	40	H_fail	pair_0020	species	False	moderate	94.35	1.0	1	511065	Complete Genome	014251975	False	False	False	False	False
RS_GCF_038260915.1	Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_B;f__Blattabacteriaceae;g__Blattabacterium;s__Blattabacterium cuenoti_AN	623810	41	H_pass	pair_0020	species	True	pass	99.9	0.08	1	623810	Complete Genome	038260915	False	False	False	False	True
GB_GCA_015172915.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	5068431	42	H_fail	pair_0021	species	False	severe	89.01	4.3	3	3298213	Complete Genome	015172915	False	False	False	False	False
GB_GCA_030994885.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	5072836	43	H_pass	pair_0021	species	True	pass	99.99	0.78	2	3313750	Complete Genome	030994885	False	False	False	False	True
GB_GCA_015356075.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	3943569	44	H_fail	pair_0022	species	False	moderate	91.6	5.13	3	3924248	Complete Genome	015356075	False	False	False	False	False
RS_GCF_024800505.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	3943705	45	H_pass	pair_0022	species	True	pass	99.99	0.12	3	3921320	Complete Genome	024800505	False	False	False	False	True
GB_GCA_015832325.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	5016132	46	H_fail	pair_0023	species	False	severe	83.04	5.92	1	5016132	Complete Genome	015832325	False	False	False	False	False
RS_GCF_001623645.2	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	5016195	47	H_pass	pair_0023	species	True	pass	100.0	0.25	5	4799398	Complete Genome	001623645	False	False	True	False	True
GB_GCA_017068215.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	3457424	48	H_fail	pair_0024	species	False	mild	96.12	2.29	5	3295928	Complete Genome	017068215	False	False	False	False	False
RS_GCF_002576835.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	3452904	49	H_pass	pair_0024	species	True	pass	100.0	0.5	3	3342669	Complete Genome	002576835	False	False	False	False	True
GB_GCA_017088185.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2820417	50	H_fail	pair_0025	species	False	moderate	94.08	1.99	2	2790388	Complete Genome	017088185	False	False	False	False	False
RS_GCF_000011525.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	2820454	51	H_pass	pair_0025	species	True	pass	100.0	0.1	2	2799802	Complete Genome	000011525	False	False	False	False	True
GB_GCA_018388625.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis eucommiae	6104387	52	H_fail	pair_0026	genus	False	severe	84.39	2.38	2	5998089	Complete Genome	018388625	False	False	False	False	False
RS_GCF_000294515.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis alba	5848211	53	H_pass	pair_0026	genus	True	pass	99.99	0.11	1	5848211	Complete Genome	000294515	False	False	False	False	True
GB_GCA_023158875.1	Spirochaetota	d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira borgpetersenii	3921067	54	H_fail	pair_0027	species	False	moderate	91.6	2.22	2	3603773	Complete Genome	023158875	False	False	False	False	False
RS_GCF_024722295.1	Spirochaetota	d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira borgpetersenii	3939236	55	H_pass	pair_0027	species	True	pass	99.99	0.25	2	3606917	Complete Genome	024722295	False	False	True	False	True
GB_GCA_023612635.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio anguillarum	4443838	56	H_fail	pair_0028	species	False	mild	99.97	3.45	4	3120744	Complete Genome	023612635	False	False	False	False	False
RS_GCF_000786425.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio anguillarum	4373835	57	H_pass	pair_0028	species	True	pass	100.0	0.5	3	3119695	Complete Genome	000786425	False	False	False	False	True
GB_GCA_024138735.1	Deinococcota	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus radiodurans	3281648	58	H_fail	pair_0029	species	False	severe	83.01	2.15	4	2647192	Complete Genome	024138735	False	False	False	False	False
RS_GCF_020546685.1	Deinococcota	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus radiodurans	3279598	59	H_pass	pair_0029	species	True	pass	99.96	0.0	4	2644543	Complete Genome	020546685	False	False	True	False	True
GB_GCA_024759545.1	Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	6811742	60	H_fail	pair_0030	species	False	mild	96.7	3.73	4	6731268	Complete Genome	024759545	False	False	False	False	False
GB_GCA_025757525.1	Bacteroidota	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	6770402	61	H_pass	pair_0030	species	True	pass	99.98	1.66	1	6770402	Complete Genome	025757525	False	False	False	False	True
GB_GCA_025792475.2	Spirochaetota	d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira borgpetersenii	3902320	62	H_fail	pair_0031	genus	False	mild	99.76	2.19	2	3584975	Complete Genome	025792475	False	False	False	False	False
RS_GCF_003429525.1	Spirochaetota	d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira mayottensis	4247041	63	H_pass	pair_0031	genus	True	pass	99.99	0.17	3	3861885	Complete Genome	003429525	False	False	True	False	True
GB_GCA_025792575.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	6335889	64	H_fail	pair_0032	species	False	severe	76.37	3.94	1	6335889	Complete Genome	025792575	False	False	False	False	False
RS_GCF_009905195.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	6335031	65	H_pass	pair_0032	species	True	pass	100.0	0.13	1	6335031	Complete Genome	009905195	False	False	False	False	True
GB_GCA_026073395.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	3281073	66	H_fail	pair_0033	species	False	mild	100.0	3.54	8	2907603	Complete Genome	026073395	False	False	False	False	False
RS_GCF_008728455.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	3274751	67	H_pass	pair_0033	species	True	pass	100.0	1.92	10	2884831	Complete Genome	008728455	False	False	False	False	True
GB_GCA_026073495.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	3283513	68	H_fail	pair_0034	species	False	mild	100.0	3.85	4	2921512	Complete Genome	026073495	False	False	False	False	False
GB_GCA_026073375.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	3291965	69	H_pass	pair_0034	species	True	pass	100.0	1.3	7	2905854	Complete Genome	026073375	False	False	False	False	True
GB_GCA_026073535.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	3294204	70	H_fail	pair_0035	species	False	mild	100.0	3.18	9	2821420	Complete Genome	026073535	False	False	False	False	False
RS_GCF_020736585.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	3294408	71	H_pass	pair_0035	species	True	pass	100.0	1.8	12	2814835	Complete Genome	020736585	False	False	False	False	True
GB_GCA_027625415.1	Campylobacterota	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D coli	1436486	72	H_fail	pair_0036	species	False	severe	84.26	0.02	1	1436486	Complete Genome	027625415	False	False	False	False	False
GB_GCA_039513915.1	Campylobacterota	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D coli_A	1607670	73	H_pass	pair_0036	species	True	pass	99.97	0.03	1	1607670	Complete Genome	039513915	False	False	False	False	True
GB_GCA_027941715.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter junii	3512170	74	H_fail	pair_0037	species	False	moderate	99.83	6.72	1	3512170	Complete Genome	027941715	False	False	False	False	False
RS_GCF_003939355.2	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter junii	3483561	75	H_pass	pair_0037	species	True	pass	100.0	0.0	3	3199829	Complete Genome	003939355	False	False	False	False	True
GB_GCA_028201695.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	4069795	76	H_fail	pair_0038	species	False	moderate	93.97	5.26	2	3958880	Complete Genome	028201695	False	False	False	False	False
RS_GCF_016903135.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	4070121	77	H_pass	pair_0038	species	True	pass	100.0	0.21	3	3978309	Complete Genome	016903135	False	False	False	False	True
GB_GCA_028219255.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Edwardsiella;s__Edwardsiella piscicida	3782284	78	H_fail	pair_0039	species	False	severe	79.77	6.06	3	3772595	Complete Genome	028219255	False	False	False	False	False
RS_GCF_003074755.2	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Edwardsiella;s__Edwardsiella piscicida	3783833	79	H_pass	pair_0039	species	True	pass	100.0	0.61	1	3783833	Complete Genome	003074755	False	False	False	False	True
GB_GCA_028621915.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xylella;s__Xylella fastidiosa	2530311	80	H_fail	pair_0040	species	False	moderate	95.59	0.0	1	2530311	Complete Genome	028621915	False	False	False	False	False
RS_GCF_012974105.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xylella;s__Xylella fastidiosa	2526544	81	H_pass	pair_0040	species	True	pass	100.0	0.01	1	2526544	Complete Genome	012974105	False	False	False	False	True
GB_GCA_029011745.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	3041350	82	H_fail	pair_0041	species	False	mild	99.89	3.96	2	2984075	Complete Genome	029011745	False	False	False	False	False
RS_GCF_030295805.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	3041860	83	H_pass	pair_0041	species	True	pass	100.0	0.21	2	3015796	Complete Genome	030295805	False	False	True	False	True
GB_GCA_029168395.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	3533436	84	H_fail	pair_0042	species	False	mild	99.91	2.91	2	3237641	Complete Genome	029168395	False	False	False	False	False
RS_GCF_034555395.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	3530360	85	H_pass	pair_0042	species	True	pass	100.0	0.27	7	3365550	Complete Genome	034555395	False	False	False	False	True
